"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"netlogo-1"
"05/18/2021 19:08:55:632 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-people","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250","250"
"[reporter]","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve"
"[final]","68.142225764382","64.39109400769648","65.33485864443638","65.00321318804136","63.54191329387294","61.52902702186578","67.79133457690351","64.47559102627392","64.45449566862489","66.9229904440697","63.45678377873294","61.748587855557766","59.480050422010315","62.13551834204558","60.161462661759444","68.85788044795657","62.84232553690153","68.33794710806701","58.62287898564235","63.62499355437532"
"[min]","32.807953855494844","32.95576735092866","33.16457837363741","33.41683865485008","32.962775461584265","32.71784657409515","35.1173436071569","33.33642272508429","30.722431890553125","32.87844282818648","34.09405581732514","33.47131697790796","32.938455846077964","34.73368473895583","32.191788388363804","32.39388401559458","32.27283625029971","31.494610132950065","33.58742484969941","34.29038817005546"
"[max]","69.23489694385218","69.38909808685091","70.20960574832186","69.20197604487798","72.3185632154141","71.13779437542871","70.11677697553158","70.10368886736809","71.63282079813871","68.82013382602611","71.36989153592872","69.19557371296806","70.1000713521227","71.36197883731717","70.47380499272361","70.27033425530917","70.61086549089339","70.94715903772354","72.68833437006555","69.0231081472891"
"[mean]","63.255223545414246","63.27805168692398","63.421785676300246","63.29653575878408","64.57087344097944","62.932854353463995","63.8589115689983","62.96147381696321","63.2557434225743","63.25194835947684","63.017045011425274","62.63779426814299","63.18729930084761","63.81865713435162","62.635143820954205","63.00944872272052","62.76960833927747","64.10625136375003","63.039234182604964","62.70252605751932"
"[steps]","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"

"[all run data]","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve"
,"33.89919698260129","32.95576735092866","33.16457837363741","33.51809093073081","33.618892114175146","34.956129196337756","35.1173436071569","33.33642272508429","32.27537295182198","33.28454644544025","34.09405581732514","33.47131697790796","32.938455846077964","34.73368473895583","32.724470018170805","32.39388401559458","33.95996802361332","33.19272637308267","34.395583323023615","34.29038817005546"
,"32.807953855494844","33.798767841893394","33.671072134387344","33.41683865485008","32.962775461584265","33.54474635423162","35.376431662000506","33.92531046717919","30.722431890553125","32.87844282818648","34.37386055678739","34.17629629629632","34.01772534785239","35.61490644229563","32.191788388363804","33.5347367129005","32.27283625029971","31.494610132950065","33.58742484969941","34.925753628582065"
,"34.57210140714035","35.451566292914116","35.5521014241056","35.1835081029552","36.09752715507281","32.71784657409515","37.605882352941165","34.923145268769446","31.980561555075596","34.6844770683965","34.68968386023293","35.22378937470616","36.6731113097899","35.17702152414194","36.470794824399256","36.97752083577888","32.97475672581569","33.01328133830677","35.23805397375588","35.21641443539"
,"36.95344673231877","38.29381903380564","37.371128553245676","36.234446299387876","39.4755618590443","34.9912649968428","39.210423416378056","37.16481823783121","34.162434282313264","37.22610633902359","35.82866043613711","34.717837837837834","38.35937982898938","37.6379421221865","40.8667461263409","38.41289654420582","36.528281284123146","33.188700918964074","37.50628036497213","36.592636324602836"
,"38.682411468920485","39.64078608247424","39.36476761619191","39.05828220858897","42.566861679899716","36.451030158256195","38.67092567066059","38.7529160186625","38.7651485912775","39.550644662197044","38.20897060418701","36.03921469667914","39.68858513189448","39.27494456762752","41.76375128117523","39.929814907453746","36.7510032102729","36.41158900836321","39.4586410635155","39.64679284963198"
,"40.457023393669935","43.05906097301894","42.19259579371944","42.10145888594166","44.32489848469843","38.98926629138442","37.9428672103091","40.63998109640834","40.36190960347539","41.466599394550954","38.99938182567482","39.95319668130795","41.46889253785805","40.624963072378144","44.26880346628154","42.83413623663166","40.16595476167362","39.42866821525359","41.63879197557782","41.16446230542275"
,"42.00814663951118","43.47171363916888","42.31443204682643","42.85386714240735","44.28902872514169","42.095246936502036","41.27957472297096","42.85602482170973","41.99102172741967","42.060495770214445","43.60281035179945","42.10241760317314","42.20835522858645","40.77631955712512","43.08177472984208","45.48689751988771","44.43611770289511","41.9868591523228","44.54727037794766","42.17247179893135"
,"43.75034591816565","46.04007285974495","43.19035621198959","41.824635922330074","42.35874190564294","44.92647598093142","44.30182478171295","45.72791864028974","43.1665792235047","45.2113983092022","44.93847283406753","44.470190449903384","44.6402718850117","44.423150449244915","43.053118857970375","45.378400000000006","47.34697709350358","44.3124441265868","45.948315911730546","41.137610370092055"
,"43.89089968976216","48.702107565364344","45.04019265194785","44.87322946175634","44.03954879043219","44.59362040060005","45.862625977206335","45.33964345600569","46.41363163371488","46.435605711653615","48.705394392160656","44.445306986591405","44.446306514041034","45.20876644282954","44.82020264681555","46.59525854664147","46.41743778636239","46.43041732145977","46.16299490803283","41.47123933950281"
,"45.821458468979614","49.96181067531702","46.767060810810776","47.39736010600348","45.16952483029654","47.39217722395291","46.37069674002377","48.643403109528414","45.41331906486666","47.08097255317271","50.64369024856593","46.1784375272474","47.67860696517413","48.121435775190264","44.0159542444311","47.273749274039695","46.407685702018036","47.750608885529516","47.73505603985053","42.05045710267231"
,"46.79467903124154","51.11158675799086","48.19057965073379","47.34307934632802","47.52067817401209","47.400498774199015","46.889028100948636","51.16801654316729","45.68562018887392","49.681260794473225","49.996343115124176","47.48912386706949","48.3840568208872","49.592519504359835","48.380813953488335","46.48836935166994","46.7847693070944","48.81638233613582","49.044289636936824","44.40464807436923"
,"46.637663254500545","50.78829245719575","47.7589472056891","50.37096146360451","48.01745119580834","47.566930758438566","48.099118942731266","51.01217675119256","46.00558164600815","50.827870230290806","51.70670440474082","47.70255170113412","49.343596730245274","51.980478087649416","50.81281543790199","48.479516268809604","47.06229728660708","48.394930658936","49.41202432326402","47.33619691978988"
,"47.85402521823474","52.049819168173585","46.573054331864924","51.404842820730664","51.108655149051515","49.32823777471415","49.203703703703695","49.01481687455311","45.22718596285149","48.82718856586","52.133269830273655","47.73665281329923","51.80519330195231","50.69859891964891","51.67620683075754","49.485435364509556","47.41042770179462","50.03638587371963","51.086276006871536","48.396617354442434"
,"48.78404125152946","52.37616207682864","48.365145228215766","51.29696308419712","52.099007888102804","49.306433852446126","50.90118834445712","50.06315708101424","46.03183118741059","50.79165011519819","52.51406908171862","49.52201207883025","52.0020545386627","52.15884685280027","50.3194860619268","52.329472530912525","48.237149355572384","52.80722163468802","51.77519379844961","50.1067406286771"
,"50.33003074820636","51.479245125115135","49.73952980924895","53.15026378024378","52.1767555448795","48.23343801405716","53.012620431563015","50.70711248550445","49.25217735550278","51.15345607739116","51.24437775110046","50.23669087716493","50.70872781065088","53.23108837509063","51.21422222222224","53.13588230844871","50.436148300720916","51.10178062678062","51.09440115963038","51.094107336616304"
,"49.701183925295965","51.359097820577794","47.83826161904125","53.68329032832104","50.77531055900625","48.357669243551776","54.68788020589608","50.09790874524717","51.14188518781007","52.87716818216551","52.216378575304255","50.48608222684368","50.98842241938976","54.83679363097098","51.4417177914111","53.31483657730441","50.735966219572774","52.240408501242065","52.07535437864161","51.72160850280359"
,"49.86938179458054","50.8694556451613","47.21276108164735","53.54813891515518","50.688043152532224","49.68189197166467","53.61056142717941","51.621028636557924","51.37234787479867","51.605067617773834","52.94112221368177","51.24024152707442","51.12727145652781","56.39381945501601","53.735157059026626","54.53879279148877","50.67118997912316","52.74451473953426","54.07874463801106","52.13102913572186"
,"49.665326471534286","53.42980099084727","49.812920766442254","54.04580088046056","50.07447582993592","50.82132544036963","54.256088533570185","53.00369183616604","52.08866318967887","52.39941958709866","53.395889588958894","52.397574740695525","51.14832764505118","57.20406711107783","52.064720496894424","54.80327226064022","51.49322263639446","53.92901442631793","52.417642140468224","52.64028748092831"
,"48.20505223764228","51.834909440615526","50.4374960500537","53.83303212026619","50.24637111190563","51.46384535005222","55.5193581253184","54.35685828116105","52.022497071590976","51.87035427081068","54.742084680755056","54.30346255175011","53.38025295797636","54.0213450292398","51.17782460690555","54.5258596973865","51.71596555150719","54.835086551264986","54.632391807069695","53.55963266901136"
,"49.92601035468664","53.94490248929763","51.8061956932376","53.16479685872267","50.585298439577386","52.41146785883633","56.26530181511192","54.43957848638292","53.43769576467385","51.98658318425762","55.498948396304336","53.62156081728997","54.175684792875494","54.63961908899993","52.569473181601126","56.33176915534387","51.83017114287546","54.91449814126398","55.917622650720126","54.07610121113939"
