tick,gini
0,35.790543
1,38.574463
2,40.180367
3,40.031754
4,41.11067
5,43.546604
6,45.13919
7,49.196533
8,51.571808
9,51.79041
10,55.15401
11,55.719048
12,56.96521
13,57.423435
14,59.70932
15,59.78696
16,61.965023
17,62.429817
18,63.72541
19,65.0456
20,68.26858
21,67.90419
22,68.7904
23,69.1945
24,67.641205
25,68.01353
26,69.050766
27,69.875824
28,71.24585
29,72.47855
30,73.385826
31,72.19773
32,73.4772
33,73.301216
34,72.17524
35,73.59513
36,73.83217
37,72.27974
38,73.013466
39,73.664795
40,71.73017
41,71.900154
42,70.821434
43,72.712875
44,72.85528
45,74.7284
46,72.98838
47,72.296135
48,72.11468
49,73.35655
50,71.40278
51,72.46909
52,72.50188
53,71.35192
54,71.46178
55,74.055626
56,73.785805
57,73.637436
58,74.16876
59,74.751015
60,75.786194
61,77.27555
62,78.25291
63,76.76494
64,77.77395
65,77.045235
66,79.457054
67,78.65985
68,79.23563
69,78.38333
70,78.61505
71,78.36384
72,77.47961
73,73.82545
74,73.74519
75,73.715065
76,71.95433
77,68.35758
78,69.83799
79,71.54697
80,71.77873
81,71.00608
82,71.69336
83,71.55462
84,71.504295
85,71.768715
86,72.235085
87,70.60676
88,71.848724
89,71.31426
90,68.43708
91,63.893578
92,66.317955
93,66.91566
94,67.86076
95,66.62368
96,66.79703
97,69.314926
98,72.44578
99,72.6758
100,72.34602
101,72.03125
102,75.73252
103,74.94903
104,73.59385
105,73.822464
106,73.05789
107,71.71401
108,72.8155
109,71.12053
110,71.7135
111,70.810905
112,71.02246
113,71.4794
114,72.548546
115,73.53286
116,75.055984
117,75.44308
118,72.97294
119,73.41751
120,74.89961
121,74.97135
122,73.743454
123,74.08512
124,73.73992
125,74.51612
126,76.52956
127,75.34704
128,74.82251
129,73.82556
130,73.56505
131,75.52415
132,77.51137
133,78.78731
134,78.12179
135,77.44695
136,76.721275
137,75.45681
138,77.195045
139,76.541756
140,77.705635
141,77.868065
142,79.1102
143,78.59217
144,76.83462
145,75.79334
146,79.1638
147,75.96815
148,76.255875
149,74.86717
150,77.77312
151,79.24752
152,78.195045
153,75.98617
154,76.70263
155,72.64632
156,73.43576
157,74.55182
158,72.63189
159,72.42757
160,72.09446
161,74.25668
162,72.238464
163,73.43396
164,73.929184
165,76.184814
166,78.64018
167,77.3755
168,78.34382
169,75.694885
170,78.80949
171,79.648094
172,78.1156
173,77.32877
174,78.451294
175,78.14416
176,71.30913
177,74.46588
178,75.78615
179,75.58379
180,75.07994
181,74.84097
182,76.06732
183,75.5435
184,76.92589
185,73.914444
186,73.88527
187,74.19876
188,75.812454
189,75.84377
190,75.803635
191,76.91369
192,78.22275
193,76.539375
194,74.948326
195,74.49624
196,73.97881
197,72.738235
198,73.677986
199,77.151215
200,75.96903
201,74.822586
202,75.06402
203,76.13086
204,73.94696
205,72.219666
206,73.44188
207,73.18338
208,74.09185
209,74.77691
210,76.12514
211,71.986244
212,73.652435
213,71.84871
214,71.57114
215,71.07079
216,71.54476
217,71.50646
218,71.58035
219,73.30322
220,70.53029
221,69.54284
222,71.60962
223,69.55584
224,69.455505
225,69.032524
226,71.166664
227,70.55361
228,69.74588
229,71.45675
230,73.22041
231,70.61729
232,72.145935
233,71.93204
234,73.75387
235,73.41865
236,76.3981
237,75.65435
238,76.21806
239,75.00511
240,74.21135
241,73.32496
242,74.04055
243,75.53862
244,75.09807
245,76.43996
246,76.173874
247,75.22056
248,76.635666
249,75.70747
250,78.66544
251,78.01588
252,78.412544
253,78.7223
254,78.72355
255,79.431786
256,79.59422
257,76.29575
258,75.53848
259,77.34267
260,78.40126
261,75.61828
262,75.747604
263,75.56989
264,75.82548
265,74.43691
266,75.875175
267,76.052025
268,78.03912
269,77.00426
270,77.54679
271,77.38056
272,76.41159
273,77.56485
274,77.69816
275,77.510704
276,76.42693
277,77.23074
278,79.75106
279,79.22258
280,78.02689
281,77.62229
282,79.07966
283,77.36992
284,74.320564
285,76.285736
286,78.20583
287,78.03734
288,78.504265
289,80.38261
290,80.214966
291,80.85067
292,78.57585
293,77.941376
294,76.04103
295,73.403564
296,72.88112
297,73.851685
298,72.20287
299,75.24461
300,74.98328
301,74.28645
302,76.494514
303,77.24496
304,75.424194
305,76.45034
306,78.03067
307,78.071556
308,78.14783
309,76.458084
310,75.6784
311,76.7398
312,74.23576
313,72.94684
314,73.47789
315,75.51115
316,77.12859
317,78.341774
318,76.79029
319,76.676414
320,76.42701
321,76.33445
322,76.04597
323,74.90663
324,73.4803
325,72.59936
326,75.35261
327,77.54398
328,72.69631
329,73.63009
330,73.066696
331,71.41622
332,73.88818
333,70.85429
334,67.89259
335,66.43671
336,65.98515
337,68.75299
338,69.98128
339,71.210594
340,71.458466
341,71.94662
342,72.38339
343,71.9102
344,72.2641
345,73.73045
346,73.93724
347,75.10498
348,75.02988
349,75.23831
350,73.31845
351,71.3666
352,71.26229
353,71.11732
354,72.02403
355,73.156395
356,73.55805
357,73.546776
358,72.44109
359,71.07438
360,73.03239
361,70.98883
362,73.56481
363,73.29691
364,72.79137
365,73.755424
366,73.97015
367,71.79744
368,70.3425
369,73.28383
370,71.2586
371,70.229706
372,71.509926
373,71.58838
374,72.77894
375,72.14899
376,73.8333
377,73.67397
378,73.46417
379,75.79618
380,76.18474
381,75.97901
382,75.15679
383,74.4195
384,75.2675
385,78.09255
386,75.495605
387,78.32921
388,78.91103
389,79.52032
390,78.55435
391,76.95037
392,77.617485
393,77.61726
394,78.07109
395,77.52659
396,77.81755
397,79.12729
398,78.15415
399,79.05265
400,78.8421
401,79.82241
402,80.942535
403,80.27607
404,82.04658
405,82.345276
406,82.84379
407,76.7871
408,75.90353
409,70.83786
410,71.89863
