tick,gini
0,34.014362
1,38.780914
2,39.203884
3,38.495922
4,37.928276
5,39.277336
6,43.255688
7,45.166607
8,46.1578
9,46.67761
10,48.02016
11,49.22613
12,50.314644
13,51.056984
14,52.55279
15,53.043644
16,53.02324
17,53.37895
18,53.388664
19,52.644634
20,53.087944
21,53.56628
22,53.42971
23,54.46343
24,55.34776
25,55.820923
26,56.98183
27,56.615814
28,56.055103
29,56.80192
30,56.827515
31,56.668144
32,56.64638
33,56.654305
34,56.40709
35,55.681107
36,55.433033
37,55.22898
38,54.739548
39,55.692314
40,57.55289
41,57.752377
42,57.637012
43,57.65369
44,58.10091
45,58.71386
46,60.067078
47,60.753822
48,60.114223
49,59.798744
50,61.36735
51,61.57399
52,61.1871
53,62.25677
54,62.427963
55,62.61357
56,62.6722
57,62.81409
58,62.57445
59,63.156483
60,63.189682
61,63.834248
62,64.39871
63,64.827934
64,65.89096
65,65.79444
66,65.81681
67,65.62927
68,65.50128
69,66.001076
70,65.13026
71,65.04458
72,65.14571
73,65.69894
74,65.44108
75,66.30773
76,66.094925
77,65.02339
78,65.53229
79,65.841866
80,65.47958
81,65.4044
82,64.40962
83,64.93797
84,63.909912
85,63.52928
86,63.986538
87,64.347435
88,63.74851
89,64.048645
90,64.33543
91,63.548103
92,63.49831
93,63.111317
94,63.21631
95,62.615883
96,62.736084
97,63.159298
98,63.813538
99,63.263786
100,62.81574
101,61.67754
102,61.436176
103,61.746918
104,61.126217
105,62.53402
106,62.092632
107,62.37775
108,63.202312
109,63.209126
110,62.235584
111,62.896988
112,63.433723
113,63.314125
114,63.415466
115,63.504677
116,63.916225
117,64.2712
118,64.97309
119,64.730705
120,65.11085
121,65.652504
122,65.39299
123,65.45745
124,65.767265
125,67.47472
126,67.48536
127,66.51515
128,66.41728
129,66.00557
130,65.84556
131,66.201706
132,65.81756
133,66.133354
134,66.28947
135,66.99575
136,66.63167
137,66.72027
138,67.097664
139,67.62542
140,66.469185
141,67.83295
142,68.75032
143,70.53677
144,70.889656
145,69.6772
146,69.19506
147,69.4182
148,68.99966
149,67.88298
150,66.93016
151,66.56371
152,67.05533
153,66.75468
154,67.75709
155,68.0392
156,67.70403
157,66.38494
158,66.49124
159,65.800545
160,66.62373
161,67.03825
162,66.54874
163,67.00014
164,68.20871
165,67.10146
166,66.2335
167,67.31945
168,66.998
169,64.40913
170,63.75022
171,64.0852
172,64.58064
173,64.22678
174,63.827328
175,63.68666
176,64.29358
177,64.41456
178,65.31238
179,65.5541
180,64.925476
181,65.58188
182,65.56006
183,64.4394
184,64.9154
185,64.1736
186,63.781143
187,61.242596
188,60.633358
189,61.271225
190,61.06004
191,61.598907
192,61.904354
193,63.01295
194,63.578888
195,63.610893
196,64.44731
197,65.3131
198,65.175964
199,64.43813
200,64.45395
201,65.094444
202,65.03508
203,64.90422
204,65.01498
205,65.29504
206,66.31464
207,66.06666
208,67.38677
209,66.17995
210,65.73453
211,65.48701
212,66.10612
213,65.94779
214,66.06702
215,67.16768
216,66.760796
217,67.11069
218,67.32801
219,66.34956
220,67.07851
221,66.94275
222,66.179726
223,66.32544
224,66.77793
225,66.20556
226,66.91668
227,67.310295
228,67.04508
229,67.58342
230,67.36527
231,67.09929
232,64.83167
233,65.400475
234,65.874664
235,66.45565
236,65.99607
237,66.62669
238,65.44373
239,66.25622
240,66.7495
241,66.92981
242,66.17191
243,64.93987
244,65.14865
245,64.95611
246,62.74761
247,63.918144
248,64.01216
249,63.734062
250,63.814354
251,62.137554
252,63.02975
253,63.255997
254,63.638535
255,64.437035
256,64.33186
257,64.60393
258,64.11878
259,64.71485
260,64.103874
261,63.421482
262,63.720623
263,64.5663
264,64.53378
265,63.888756
266,63.74384
267,63.77531
268,64.30009
269,63.72989
270,64.65751
271,64.74768
272,65.71919
273,65.6501
274,66.04906
275,66.62962
276,67.092316
277,65.818405
278,66.141785
279,66.804
280,65.294815
281,63.95296
282,63.301292
283,63.10225
284,63.188667
285,61.79069
286,61.87406
287,62.900047
288,64.314445
289,63.87949
290,63.402172
291,63.63964
292,64.68206
293,64.13997
294,65.17289
295,65.37251
296,64.62115
297,64.91219
298,64.45116
299,63.620415
300,64.2011
301,63.08328
302,61.83562
303,60.92298
304,61.115456
305,61.685963
306,61.462547
307,60.98754
308,61.069717
309,60.040615
310,60.50541
311,59.866062
312,59.967213
313,59.580433
314,60.059975
315,59.6082
316,59.252487
317,59.712906
318,60.507095
319,60.952938
320,60.12345
321,60.425503
322,60.735104
323,61.336147
324,61.520683
325,61.632248
326,61.72485
327,62.455803
328,61.592648
329,62.160473
330,63.07694
331,63.110466
332,64.73674
333,64.96232
334,65.359985
335,65.361824
336,66.161606
337,66.604675
338,66.2181
339,65.8206
340,65.520164
341,65.125084
342,64.79949
343,65.34945
344,65.87928
345,65.34344
346,65.79387
347,64.80041
348,64.43903
349,64.422966
350,64.96483
351,65.362854
352,65.160965
353,64.223885
354,64.56843
355,64.726036
356,63.808548
357,63.847176
358,63.219166
359,62.01445
360,62.134007
361,62.25709
362,63.10686
363,63.436756
364,62.26263
365,62.517666
366,62.65165
367,62.793224
368,63.80395
369,63.950417
370,63.254265
371,63.045547
372,63.033985
373,62.61397
374,62.817436
375,61.68645
376,62.514908
377,61.958664
378,61.18296
379,60.659237
380,61.466717
381,61.26462
382,62.043217
383,62.11139
384,62.637814
385,62.51684
386,63.198074
387,64.710205
388,64.444336
389,64.597115
390,65.93251
391,65.27377
392,65.575096
393,65.75127
394,66.714424
395,67.38325
396,67.22389
397,67.5906
398,66.70454
399,67.41882
400,67.37685
401,66.23489
402,66.43488
403,64.298615
404,64.5508
405,65.09576
406,65.297676
407,64.69399
408,64.672295
409,65.04284
410,63.91887
411,63.823265
412,63.318993
413,62.21458
414,62.61695
415,62.747234
416,64.276474
417,64.85182
418,64.35133
419,63.305557
420,63.14312
421,62.60593
422,61.988705
423,62.144146
424,62.960705
425,62.90512
426,62.215237
427,62.96608
428,63.603783
429,63.55964
430,63.663677
431,63.142944
432,63.50755
433,61.387474
434,63.111256
435,62.99488
436,63.44901
437,62.69706
438,63.084606
439,61.80714
440,60.334015
441,60.962097
442,62.276062
443,62.841778
444,61.92753
445,61.70893
446,60.116962
447,60.116413
448,60.04035
449,60.364716
450,60.32225
451,59.973175
452,60.623386
453,60.233738
454,60.95339
455,62.10457
456,61.278404
457,60.763466
458,61.48622
459,61.363518
460,60.50025
461,62.006424
462,61.779125
463,60.69298
464,61.10191
465,61.27656
466,61.307007
467,61.025944
468,60.772728
469,60.00912
470,60.219215
471,61.28846
472,61.27959
473,62.608673
474,62.886414
475,63.137974
476,62.52867
477,63.39115
478,64.19293
479,65.76123
480,65.8777
481,66.22252
482,66.597336
483,66.612114
484,66.838905
485,66.82251
486,66.88059
487,66.779076
488,64.98304
489,65.833405
490,66.43968
491,64.93014
492,65.38542
493,65.39725
494,65.04124
495,64.75686
496,63.818737
497,63.766644
498,63.857765
499,65.73427
500,66.306465
