tick,gini
0,34.00148
1,34.569862
2,37.009857
3,39.530304
4,42.535576
5,44.354267
6,48.090595
7,50.681194
8,53.773537
9,55.700336
10,58.671215
11,59.106197
12,61.70557
13,63.17461
14,64.91028
15,64.63533
16,66.71875
17,65.84699
18,65.78434
19,64.98898
20,65.64674
21,65.08937
22,64.735886
23,64.05645
24,62.5271
25,61.581135
26,61.440735
27,60.59436
28,60.086567
29,59.534508
30,59.192646
31,58.886303
32,58.694733
33,58.712196
34,58.47496
35,58.956726
36,58.886738
37,59.507107
38,59.20513
39,59.15795
40,59.302452
41,58.68633
42,58.399883
43,58.46346
44,58.237682
45,57.925495
46,57.730633
47,57.33434
48,57.501114
49,57.20195
50,57.26635
51,56.880226
52,56.825405
53,56.44229
54,56.95531
55,56.596996
56,56.325684
57,55.968815
58,55.726685
59,55.671894
60,55.69221
61,55.81036
62,55.467663
63,55.43901
64,55.081326
65,55.04834
66,54.919662
67,54.78417
68,54.548756
69,54.656002
70,54.629436
71,54.72878
72,54.625336
73,54.99101
74,54.88782
75,55.18763
76,55.277332
77,55.396614
78,55.70298
79,55.967815
80,56.179096
81,56.506874
82,56.560505
83,56.552185
84,56.584072
85,56.753284
86,56.895187
87,57.26293
88,57.340725
89,57.66547
90,57.778477
91,57.95981
92,58.117233
93,58.381813
94,58.007336
95,57.909428
96,57.73298
97,57.48658
98,57.157005
99,57.11114
100,56.95599
101,56.955616
102,57.1483
103,57.1205
104,57.345276
105,57.225792
106,57.3288
107,57.33011
108,57.480083
109,57.375683
110,57.415863
111,57.574726
112,57.690598
113,57.916466
114,58.036255
115,58.240005
116,58.601486
117,58.89464
118,59.278812
119,59.71303
120,59.799263
121,60.22722
122,60.720375
123,61.165382
124,61.42468
125,61.855488
126,61.935936
127,62.35133
128,62.38449
129,62.725323
130,62.865387
131,63.04697
132,62.75345
133,62.785465
134,62.673702
135,62.80104
136,62.816914
137,62.908775
138,62.739765
139,62.89044
140,62.922794
141,62.957455
142,62.91488
143,63.13399
144,63.228127
145,63.34899
146,63.36991
147,63.6405
148,63.67448
149,63.95137
150,63.818256
151,64.080124
152,64.081116
153,64.106094
154,64.28384
155,64.46527
156,64.524
157,64.65209
158,64.81526
159,65.20347
160,65.02654
161,65.17464
162,65.4414
163,65.7388
164,65.73559
165,66.00367
166,66.00828
167,66.13682
168,66.24032
169,66.482315
170,66.56304
171,66.7379
172,66.63805
173,66.81935
174,66.871605
175,67.03752
176,66.95803
177,66.76353
178,66.76056
179,66.64888
180,66.47159
181,66.53483
182,66.23352
183,66.28694
184,66.28052
185,66.235306
186,66.39458
187,66.31075
188,66.1166
189,65.83381
190,65.820755
191,65.63385
192,65.305466
193,65.377655
194,65.12043
195,65.06731
196,64.87583
197,65.0227
198,64.78623
199,65.02449
200,64.88179
201,65.14412
202,64.87175
203,65.16911
204,65.13505
205,65.348724
206,65.38152
207,65.47713
208,65.50066
209,65.73805
210,65.82239
211,66.089195
212,66.167984
213,66.33605
214,66.13614
215,66.199936
216,66.33834
217,66.17826
218,66.24672
219,66.154366
220,66.30869
221,66.292816
222,66.5788
223,66.45483
224,66.77916
225,66.79953
226,66.71396
227,66.874825
228,66.69622
229,66.74815
230,66.91292
231,66.69085
232,66.706985
233,66.75625
234,66.89855
235,67.007095
236,66.91555
237,66.91305
238,66.8523
239,66.95034
240,66.943375
241,67.05607
242,67.16528
243,67.398285
244,67.6024
245,67.63883
246,67.90023
247,68.19967
248,68.42796
249,68.45751
250,68.63424
251,68.83117
252,69.04704
253,69.323074
254,69.56106
255,69.79065
256,69.86799
257,70.144325
258,70.23326
259,70.599815
260,71.09418
261,71.009865
262,71.35432
263,71.30878
264,71.58482
265,71.73695
266,71.89668
267,72.077156
268,72.051384
269,72.18909
270,72.24179
271,72.30642
272,72.36019
273,72.6184
274,72.62085
275,72.73685
276,72.70039
277,72.76794
278,72.655655
279,72.94059
280,72.984474
281,72.839836
282,72.68959
283,72.63138
284,72.71579
285,72.647865
286,72.90895
287,72.72702
288,72.86205
289,72.80774
290,73.00882
291,72.808586
292,73.006256
293,72.60797
294,72.55527
295,72.4021
296,72.526245
297,72.65065
298,72.63356
299,72.36142
300,72.34525
301,72.55606
302,72.50486
303,72.528534
304,72.33196
305,72.38859
306,72.31287
307,72.36245
308,72.04841
309,72.15833
310,72.099945
311,71.74118
312,72.02788
313,71.484215
314,71.46402
315,71.59512
316,71.81909
317,72.021835
318,72.21338
319,72.2184
320,72.332275
321,72.15738
322,72.53878
323,72.306274
324,72.42079
325,72.66134
326,72.78502
327,72.807144
328,73.111626
329,73.0634
330,73.234604
331,73.265564
332,73.7774
333,73.653336
334,73.885025
335,73.901985
336,74.16739
337,73.785545
338,73.98553
339,73.60484
340,73.76755
341,73.78163
342,73.66637
343,73.78516
344,73.87294
345,73.778694
346,73.64687
347,73.643105
348,73.55931
349,73.58997
350,73.54224
351,73.29769
352,73.303665
353,73.10261
354,73.18036
355,73.0959
356,73.24706
357,73.160416
358,73.245995
359,73.38486
360,73.29421
361,73.19235
362,73.27994
363,73.23573
364,73.19675
365,73.00538
366,72.93554
367,73.12238
368,73.09685
369,73.05206
370,72.775475
371,72.705246
372,72.40756
373,72.53349
374,72.3259
375,72.347565
376,71.92853
377,71.890205
378,71.731705
379,71.95608
380,71.95519
381,72.165596
382,72.12742
383,72.31705
384,72.385666
385,72.51103
386,72.792366
387,73.332245
388,73.392
389,73.75639
390,73.75756
391,74.12381
392,73.945076
393,74.13108
394,74.18052
395,74.01543
396,73.90213
397,74.323204
398,74.47499
399,74.661255
400,74.8137
401,74.87443
402,75.021835
403,75.299904
404,75.4069
405,75.561775
406,75.683075
407,75.86011
408,75.90824
409,76.20309
410,76.362854
411,76.47941
412,76.557144
413,76.76515
414,76.708755
415,76.88082
416,76.836136
417,76.60174
418,76.59901
419,76.77119
420,76.98538
421,77.10717
422,77.11162
423,77.36573
424,77.22878
425,77.236275
426,77.33691
427,77.370056
428,77.565575
429,77.40609
430,77.36309
431,77.35015
432,77.46612
433,77.36811
434,77.55043
435,77.36623
436,77.55662
437,77.41016
438,77.659966
439,77.553055
440,77.69167
441,77.57457
442,77.79367
443,77.71114
444,77.79391
445,77.77076
446,77.838684
447,77.96808
448,78.14316
449,78.4319
450,78.51673
451,78.49675
452,78.6004
453,78.61395
454,78.5277
455,78.346306
456,78.2507
457,78.29189
458,78.24925
459,78.18534
460,78.14613
461,78.00206
462,78.03961
463,77.99343
464,77.64889
465,77.42576
466,77.33238
467,77.14503
468,76.97755
469,76.864105
470,76.836296
471,76.64571
472,76.697876
473,76.67458
474,76.604645
475,76.69778
476,76.460945
477,76.70834
478,76.29674
479,76.508316
480,76.447624
481,76.618805
482,76.51999
483,76.487915
484,76.30419
485,76.31377
486,75.951294
487,75.679276
488,75.59269
489,75.3871
490,75.378685
491,75.22663
492,75.24546
493,75.205574
494,75.13867
495,75.06943
496,74.85739
497,74.56101
498,74.784134
499,74.62161
500,74.5188
