tick,gini
0,33.87301
1,31.66231
2,32.48128
3,35.51958
4,37.78369
5,41.8403
6,40.8503
7,45.563995
8,47.04499
9,48.81372
10,49.98546
11,50.26023
12,51.460487
13,51.73963
14,48.99157
15,50.911453
16,50.462578
17,49.708748
18,50.46568
19,50.608227
20,51.07254
21,50.490917
22,53.280113
23,53.331726
24,53.816765
25,56.3531
26,55.70751
27,56.56526
28,56.087147
29,57.086086
30,57.18134
31,57.215183
32,58.0592
33,57.863388
34,57.061752
35,57.598083
36,58.10118
37,55.775917
38,57.15126
39,57.766167
40,57.910343
41,59.849075
42,61.130413
43,62.644814
44,62.701374
45,62.703793
46,63.087868
47,62.351143
48,62.090954
49,60.93727
50,60.753033
51,60.270622
52,60.3575
53,60.82813
54,62.442764
55,63.066853
56,62.118
57,60.789955
58,60.092342
59,60.125446
60,60.66824
61,61.350212
62,61.45241
63,61.8261
64,63.58183
65,65.33853
66,64.6704
67,63.930183
68,63.46595
69,63.918682
70,63.465744
71,61.06851
72,59.573174
73,60.98074
74,61.143402
75,63.049877
76,61.38182
77,62.083813
78,62.12774
79,63.1772
80,62.258827
81,61.938046
82,62.504654
83,62.900097
84,62.942596
85,62.509586
86,61.58315
87,62.49868
88,62.093445
89,62.106674
90,61.87719
91,62.592518
92,62.29278
93,61.9816
94,61.81462
95,61.674526
96,62.51194
97,63.167305
98,64.341125
99,64.565
100,63.89961
101,61.77581
102,62.942463
103,64.183
104,63.19257
105,63.62048
106,62.71023
107,61.713226
108,60.643578
109,61.02972
110,61.16397
111,61.169403
112,62.938843
113,62.629128
114,62.527584
115,63.6
116,63.31764
117,64.44138
118,64.43552
119,63.609383
120,64.7638
121,65.3815
122,66.06785
123,65.94498
124,66.53638
125,66.67158
126,65.7767
127,65.70909
128,66.29537
129,65.05947
130,65.04248
131,64.73152
132,64.21079
133,64.59514
134,63.18091
135,64.330894
136,63.104206
137,62.834652
138,62.965164
139,63.349777
140,64.606606
141,64.707756
142,61.566402
143,61.641518
144,60.681866
145,61.14453
146,61.195896
147,61.010834
148,60.647987
149,61.55374
150,62.721428
151,60.565155
152,61.650917
153,61.15933
154,60.267994
155,61.509884
156,60.626152
157,58.774426
158,59.502884
159,60.686554
160,61.352
161,59.83122
162,59.417824
163,58.955067
164,58.78763
165,60.580105
166,62.01585
167,61.45927
168,60.972843
169,59.905376
170,61.456875
171,61.45153
172,59.25968
173,59.188526
174,60.43804
175,59.998035
176,61.39463
177,62.802586
178,62.021484
179,61.955795
180,63.308315
181,62.925327
182,63.412918
183,61.41731
184,61.250404
185,61.737152
186,63.278786
187,64.65628
188,65.3911
189,65.63475
190,64.80426
191,64.22224
192,62.179893
193,61.984463
194,62.939484
195,63.701374
196,63.536278
197,64.59889
198,63.88861
199,63.29021
200,64.54861
201,64.48849
202,64.847046
203,64.24012
204,66.68318
205,67.06429
206,66.55866
207,65.248604
208,65.29989
209,65.07761
210,64.44155
211,62.60817
212,62.847263
213,62.031353
214,63.286823
215,63.27041
216,64.35995
217,64.20414
218,63.290306
219,61.266037
220,62.652935
221,60.617012
222,60.22154
223,61.075996
224,62.424763
225,61.702415
226,60.709473
227,57.732033
228,57.687325
229,58.75127
230,60.359875
231,60.423435
232,60.0488
233,60.419434
234,61.557137
235,58.83494
236,59.3214
237,60.598995
238,61.271763
239,62.915
240,62.602352
241,62.289642
242,62.52869
243,62.77314
244,64.29045
245,61.89269
246,61.86984
247,61.37611
248,61.00573
249,62.57784
250,63.4824
251,62.100876
252,64.0083
253,63.047695
254,63.459835
255,62.30711
256,62.337208
257,61.366005
258,60.509167
259,59.437157
260,60.333046
261,61.420403
262,61.007984
263,61.03198
264,61.764427
265,61.680218
266,63.161434
267,64.874725
268,64.19737
269,63.891834
270,63.08294
271,64.144806
272,62.919216
273,63.34844
274,63.917007
275,65.481
276,65.35141
277,66.13925
278,64.3509
279,65.00857
280,64.41826
281,65.42881
282,65.650406
283,65.48406
284,65.75835
285,64.742294
286,65.60401
287,67.04228
288,66.17601
289,65.74485
290,64.883095
291,65.28462
292,66.40811
293,66.179344
294,66.93291
295,65.6771
296,66.871994
297,65.955345
298,66.20507
299,66.84809
300,66.67656
301,66.36045
302,67.089134
303,67.03458
304,67.16783
305,66.59614
306,67.39534
307,66.32309
308,65.59121
309,65.55543
310,66.63826
311,67.51468
312,66.04807
313,64.93002
314,64.64328
315,65.91912
316,64.19967
317,64.72234
318,65.370026
319,66.80715
320,66.98297
321,67.286
322,64.76323
323,66.60193
324,65.69801
325,64.49215
326,63.746048
327,63.3233
328,64.085205
329,64.46168
330,65.35256
331,66.26451
332,67.09101
333,66.08561
334,65.80497
335,66.11202
336,63.827305
337,63.816753
338,62.85484
339,63.345592
340,64.17222
341,63.673588
342,65.007
343,64.73222
344,62.912556
345,63.02164
346,62.481552
347,62.938366
348,62.605507
349,62.688553
350,62.063366
351,63.26669
352,62.3669
353,61.83457
354,62.42706
355,64.87152
356,64.35063
357,63.832863
358,63.306416
359,63.183105
360,64.93502
361,62.818443
362,60.890976
363,61.02085
364,61.36987
365,61.29625
366,61.56393
367,62.500496
368,62.95893
369,62.055275
370,63.42189
371,63.32314
372,64.672325
373,63.721294
374,63.200066
375,61.269386
376,62.441135
377,62.26177
378,62.42532
379,63.01988
380,63.797966
381,63.046227
382,59.83182
383,60.211056
384,58.877773
385,60.527187
386,62.22236
387,62.480747
388,61.921688
389,62.90685
390,62.850647
391,63.302383
392,63.09661
393,62.056957
394,62.64794
395,61.937447
396,62.731895
397,61.634193
398,62.477116
399,63.015312
400,64.32868
401,64.06412
402,63.286106
403,63.039898
404,64.00894
405,63.37379
406,63.938343
407,62.83634
408,62.90148
409,62.47633
410,61.71183
411,62.11143
412,63.001423
413,63.90904
414,63.769794
415,65.63414
416,65.49514
417,64.012535
418,62.428616
419,63.335632
420,63.564808
421,64.09697
422,63.58033
423,63.415314
424,62.37131
425,63.982815
426,65.27156
427,67.28202
428,65.77667
429,63.7781
430,65.62684
431,65.116394
432,63.062454
433,62.624172
434,62.03603
435,62.839153
436,63.835827
437,64.93425
438,63.704678
439,62.458965
440,62.76219
441,62.848644
442,62.242435
443,63.342712
444,63.57566
445,62.586487
446,62.7461
447,61.61476
448,61.603626
449,61.778755
450,61.28205
451,63.01547
452,62.375725
453,62.154232
454,63.290085
455,61.77801
456,61.53382
457,61.236126
458,61.78961
459,63.008484
460,62.35087
461,63.055294
462,61.920742
463,61.42088
464,61.804096
465,62.579613
466,61.33726
467,62.95203
468,62.798306
469,61.695755
470,61.97813
471,62.371433
472,62.191006
473,62.801064
474,64.22835
475,62.729534
476,62.270073
477,62.9582
478,63.380165
479,63.148422
480,64.68576
481,64.41021
482,63.59647
483,63.285698
484,63.689793
485,64.03333
486,64.451965
487,65.62737
488,66.22022
489,64.91485
490,64.03442
491,64.66661
492,64.78318
493,64.42417
494,63.477783
495,63.279507
496,64.391365
497,63.659252
498,63.95922
499,64.55407
500,64.35682
