tick,gini
0,32.035656
1,33.64463
2,36.59506
3,40.473866
4,43.344467
5,47.412983
6,52.088055
7,54.068474
8,56.05717
9,58.4137
10,58.942482
11,59.678352
12,60.388657
13,60.61777
14,60.43424
15,60.81746
16,60.754642
17,60.596924
18,60.671307
19,60.31125
20,60.700512
21,61.267906
22,60.411736
23,60.555416
24,60.345543
25,60.122265
26,59.27931
27,58.77397
28,58.025837
29,57.394688
30,57.087975
31,57.146564
32,57.05359
33,56.764626
34,55.897045
35,55.209774
36,54.891224
37,54.17088
38,54.54126
39,54.825954
40,54.92205
41,55.1689
42,55.12439
43,55.061653
44,55.30735
45,55.68468
46,55.66806
47,55.602634
48,55.23469
49,55.417027
50,55.550434
51,55.710945
52,55.98128
53,55.955223
54,56.24872
55,56.49415
56,56.75589
57,56.611046
58,56.51045
59,56.40134
60,56.437122
61,56.096176
62,56.11956
63,56.165604
64,56.273308
65,55.84272
66,55.91614
67,55.796288
68,55.82499
69,55.550407
70,55.526264
71,55.469173
72,55.806843
73,55.710155
74,55.799225
75,56.180546
76,56.20602
77,56.009468
78,55.949497
79,56.077965
80,55.844
81,55.573864
82,55.81779
83,56.02831
84,56.18514
85,56.71617
86,56.92656
87,57.380264
88,57.51779
89,57.3833
90,57.457752
91,57.793446
92,58.0929
93,58.520084
94,59.009617
95,59.391273
96,59.847256
97,60.3413
98,60.55418
99,60.820656
100,61.161896
101,61.36494
102,61.863003
103,61.978596
104,62.272774
105,62.551876
106,62.49592
107,62.389637
108,62.69846
109,62.666958
110,62.812923
111,62.72912
112,62.62143
113,62.644737
114,62.86238
115,62.97727
116,63.121704
117,63.306217
118,63.489372
119,63.53269
120,63.78097
121,63.792522
122,64.17692
123,64.15593
124,64.331215
125,64.46625
126,64.716446
127,64.77034
128,65.06386
129,65.00982
130,65.263855
131,65.43539
132,65.7205
133,65.99214
134,66.10863
135,66.526054
136,66.66409
137,66.918015
138,67.276474
139,67.55817
140,68.09105
141,68.27109
142,68.47368
143,68.4155
144,68.37298
145,68.362076
146,68.556076
147,68.815285
148,68.96652
149,69.10866
150,69.24047
151,69.297516
152,69.43907
153,69.33692
154,69.47032
155,69.22595
156,69.02035
157,68.91043
158,68.81388
159,68.80592
160,68.69804
161,68.545265
162,68.40558
163,68.652016
164,68.498344
165,68.53786
166,68.5284
167,68.70555
168,68.82186
169,68.925476
170,68.97298
171,69.18117
172,69.17413
173,69.22736
174,69.46269
175,69.47133
176,69.39654
177,69.31087
178,69.26405
179,69.10331
180,69.22462
181,69.393074
182,69.312096
183,69.26929
184,69.06661
185,69.26518
186,69.08399
187,69.03267
188,69.09796
189,68.82635
190,68.86639
191,68.53822
192,68.5295
193,68.52236
194,68.72772
195,68.6121
196,68.823456
197,68.98983
198,69.18567
199,69.491035
200,69.69042
201,69.72864
202,69.96707
203,69.89831
204,70.015594
205,70.04172
206,70.23619
207,70.07517
208,70.11446
209,70.34118
210,70.43843
211,70.32105
212,70.454285
213,70.533424
214,70.15425
215,70.345894
216,70.16348
217,70.29039
218,70.299736
219,70.18115
220,70.05292
221,69.841286
222,69.591446
223,69.65173
224,69.602066
225,69.725464
226,69.640686
227,70.014984
228,69.90109
229,69.905365
230,69.89423
231,70.08125
232,70.161804
233,70.355934
234,70.546906
235,70.73275
236,70.98793
237,70.967354
238,71.02345
239,71.03576
240,71.18083
241,71.216354
242,71.41625
243,71.54388
244,71.64881
245,71.67126
246,71.78454
247,71.87757
248,71.97574
249,71.58001
250,71.65598
251,71.55119
252,71.62022
253,71.66615
254,71.86073
255,71.99169
256,72.33604
257,72.33155
258,72.72448
259,72.55386
260,72.715416
261,72.275345
262,72.60625
263,72.62598
264,72.6505
265,72.77921
266,72.53906
267,72.568825
268,72.66258
269,72.43494
270,72.6204
271,72.295685
272,72.215355
273,72.36093
274,72.10033
275,72.28182
276,72.10919
277,72.127464
278,71.91752
279,72.04001
280,71.92846
281,71.77756
282,71.569405
283,71.59421
284,71.59937
285,71.41431
286,71.13993
287,71.07923
288,70.89947
289,70.72144
290,70.74889
291,70.68256
292,70.39798
293,70.47675
294,70.15005
295,70.452324
296,70.13684
297,70.434746
298,70.392334
299,70.45929
300,70.08794
301,70.31955
302,70.2334
303,70.24325
304,70.20458
305,70.110245
306,70.25819
307,70.4171
308,70.389824
309,70.27584
310,70.16485
311,70.15364
312,70.21417
313,70.477875
