tick,gini
0,31.962202
1,30.7319
2,33.22412
3,35.405193
4,37.806484
5,38.12555
6,40.962296
7,43.76438
8,44.564205
9,47.26472
10,49.082634
11,50.155075
12,49.07458
13,52.477325
14,53.76058
15,54.79454
16,55.773495
17,56.576996
18,57.545002
19,59.014404
20,58.423923
21,60.314415
22,58.67771
23,57.65949
24,58.01805
25,56.85871
26,56.427086
27,58.209274
28,57.69591
29,56.768982
30,57.814938
31,60.120148
32,60.528492
33,58.940647
34,58.782894
35,60.360233
36,61.140545
37,61.95554
38,61.462173
39,61.995434
40,62.854042
41,63.898212
42,64.92888
43,66.2253
44,64.14572
45,64.854836
46,64.72449
47,64.44918
48,63.757088
49,63.428024
50,64.63012
51,64.65498
52,64.88158
53,64.33944
54,64.76189
55,64.96552
56,65.126335
57,65.29158
58,65.370766
59,65.16027
60,65.683945
61,65.21206
62,65.60127
63,66.611946
64,66.13674
65,66.696785
66,65.509224
67,66.28336
68,66.25899
69,66.288155
70,65.91125
71,66.027054
72,65.31348
73,64.994576
74,65.82298
75,65.9557
76,67.40087
77,67.6579
78,67.53249
79,67.37975
80,66.90924
81,66.547775
82,67.19707
83,66.83101
84,67.243515
85,68.78704
86,68.79622
87,68.603096
88,67.8528
89,67.910194
90,68.20412
91,68.444565
92,67.478134
93,69.017456
94,69.43895
95,68.40279
96,67.96516
97,66.08677
98,66.54902
99,66.70888
100,66.62945
101,64.6709
102,64.167015
103,64.908585
104,62.970192
105,62.77994
106,63.23509
107,63.199978
108,64.42382
109,64.203766
110,63.311176
111,64.4948
112,63.861557
113,64.469376
114,64.109726
115,65.129326
116,64.378624
117,65.32112
118,66.39963
119,64.48341
120,65.30732
121,66.51336
122,65.74651
123,66.947876
124,68.158005
125,68.3672
126,68.90572
127,67.92955
128,68.7958
129,67.57279
130,68.22641
131,66.922264
132,68.16995
133,68.47964
134,66.25017
135,66.5799
136,66.095146
137,68.36609
138,68.022415
139,66.713585
140,67.27177
141,64.345184
142,64.4622
143,64.2709
144,63.88582
145,65.26958
146,64.459045
147,65.891464
148,64.27669
149,63.287136
150,62.820614
151,60.112823
152,60.717613
153,60.46975
154,60.2944
155,58.794945
156,59.08005
157,59.50363
158,59.929195
159,60.862247
160,60.991947
161,60.514008
162,61.75415
163,61.51043
164,62.076645
165,61.999817
166,62.267242
167,61.8511
168,61.229225
169,60.924435
170,61.166714
171,61.314747
172,62.593166
173,63.152546
174,63.437813
175,62.201393
176,62.81422
177,63.860954
178,62.43924
179,62.774815
180,63.506676
181,63.654728
182,64.496216
183,64.18048
184,64.167694
185,63.77307
186,64.674576
187,66.25879
188,65.81512
189,65.45482
190,65.54929
191,66.42159
192,66.339874
193,64.69195
194,65.077095
195,66.71345
196,66.23137
197,65.6282
198,63.777885
199,64.24805
200,64.00335
201,63.202232
202,63.86645
203,64.04041
204,64.59059
205,65.4058
206,64.76785
207,65.90855
208,64.41327
209,64.72238
210,65.335464
211,64.848564
212,64.12958
213,63.28522
214,63.661915
215,62.92432
216,61.30238
217,60.740288
218,61.26104
219,60.954742
220,60.478443
221,59.120045
222,59.04915
223,58.190533
224,58.220337
225,57.988464
226,58.413006
227,58.134136
228,57.735573
229,58.68485
230,59.005554
231,58.889885
232,58.81718
233,59.047157
234,60.042953
235,61.589077
236,61.37469
237,62.29171
238,63.23342
239,63.601215
240,63.65521
241,63.199223
242,63.309715
243,63.992554
244,63.556442
245,61.517246
246,63.080963
247,63.444313
248,63.093624
249,63.4413
250,62.223522
251,62.324123
252,62.32139
253,62.457405
254,61.452637
255,62.67016
256,63.75428
257,64.349304
258,62.991207
259,62.831936
260,62.87215
261,63.092426
262,63.76392
263,63.299675
264,63.96813
265,64.143585
266,64.00698
267,64.88753
268,64.466515
269,63.563793
270,64.050644
271,63.799156
272,63.758125
273,64.29374
274,64.25032
275,64.89806
276,64.04751
277,63.268257
278,63.57567
279,63.750282
280,64.92055
281,64.534256
282,64.631615
283,64.81131
284,64.51112
285,63.608974
286,64.595505
287,65.41029
288,65.32661
289,65.32732
290,63.217777
291,63.434086
292,63.10342
293,62.577248
294,61.165066
295,61.586567
296,61.368027
297,60.737823
298,60.86512
299,61.131737
300,61.036743
301,61.97681
302,62.227463
303,62.756504
304,62.680264
305,63.380352
306,63.307163
307,64.9266
308,65.24582
309,65.08303
310,64.46608
311,64.92923
312,65.69472
313,66.132164
314,67.18728
315,68.14883
316,66.38831
317,66.6794
318,65.82998
319,66.118904
320,64.12234
321,64.51189
322,64.121155
323,63.790447
324,63.467606
325,62.615883
326,64.34499
327,64.4092
328,65.23204
329,65.180855
330,64.841934
331,65.45068
332,64.926414
333,64.795586
334,62.45531
335,62.882137
336,63.609627
337,63.670303
338,64.08928
339,64.567505
340,65.555336
341,64.105545
342,64.92724
343,64.0287
344,63.589943
345,62.370205
346,60.51318
347,60.68969
348,61.583996
349,60.701916
350,61.705105
351,62.639313
352,63.68917
353,64.00806
354,63.614212
355,62.76492
356,62.77897
357,63.013107
358,62.756546
359,63.268925
360,63.95249
361,63.148727
362,62.566948
363,63.962025
364,62.60015
365,62.917656
366,63.418686
367,64.44041
368,64.36667
369,65.18133
370,64.86633
371,64.2387
372,64.01267
373,63.40367
374,65.22447
375,65.904854
376,66.53403
377,66.67311
378,65.40294
379,65.27134
380,65.94117
381,65.760635
382,64.732346
383,64.14698
384,64.07062
385,64.27095
386,65.153915
387,65.11864
388,65.148186
389,64.895805
390,65.16877
391,64.76167
392,62.337048
393,62.416473
394,62.080948
395,61.872734
396,61.828255
397,61.71697
398,61.41008
399,61.090096
400,61.326992
401,61.786743
402,61.039024
403,60.73119
404,61.434505
405,61.2886
406,61.24523
407,61.32549
408,61.887043
409,62.740505
410,63.06353
411,62.96914
412,62.691566
413,62.78784
414,63.291046
415,62.835197
416,63.06735
417,61.622433
418,60.635147
419,60.512936
420,61.00334
421,60.726646
422,61.015083
423,59.959366
424,60.26098
425,60.868694
426,62.116707
427,62.435863
428,63.493855
429,63.417953
430,62.333214
431,63.047962
432,62.356262
433,63.166992
434,63.60651
435,64.25679
436,64.10038
437,64.315636
438,64.22574
439,64.62259
440,65.31615
441,66.21767
442,64.92098
443,64.39499
444,65.23038
445,64.886986
446,66.433975
447,65.14547
448,65.60894
449,65.145485
450,66.105194
451,65.843475
452,66.07624
453,67.18138
454,66.09894
455,66.52072
456,67.89762
457,69.50924
458,67.8099
459,66.406975
460,66.3632
461,66.7167
462,67.31586
463,67.56918
464,67.88616
465,69.250336
466,69.08533
467,67.750175
468,67.42341
469,67.05511
470,68.55355
471,67.10927
472,65.37011
473,66.03149
474,67.54717
475,67.47394
476,66.35331
477,65.28281
478,63.33563
479,63.882042
