grain-here,max-grain-here
7,7
0,0
0,0
0,0
0,0
0,0
7,7
14,14
29,29
14,14
26,26
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
14,14
29,29
14,14
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
7,7
0,0
0,0
7,7
7,7
7,7
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
14,14
7,7
7,7
0,0
0,0
0,0
0,0
7,7
7,7
7,7
7,7
7,7
14,14
7,7
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
7,7
7,7
14,14
26,26
14,14
7,7
14,14
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
26,26
7,7
7,7
26,26
7,7
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
26,26
14,14
7,7
14,14
26,26
7,7
0,0
14,14
26,26
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
0,0
7,7
7,7
7,7
0,0
7,7
7,7
7,7
7,7
14,14
29,29
7,7
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
7,7
14,14
14,14
7,7
14,14
14,14
21,21
7,7
14,14
7,7
7,7
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
26,26
14,14
14,14
31,31
14,14
14,14
7,7
14,14
7,7
7,7
0,0
7,7
26,26
7,7
0,0
7,7
26,26
14,14
14,14
29,29
14,14
26,26
14,14
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
7,7
7,7
14,14
7,7
14,14
7,7
7,7
0,0
0,0
0,0
7,7
7,7
14,14
28,28
21,21
14,14
21,21
29,29
28,28
29,29
14,14
0,0
7,7
14,14
14,14
7,7
14,14
14,14
21,21
31,31
21,21
28,28
14,14
7,7
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
7,7
7,7
7,7
0,0
7,7
26,26
7,7
0,0
0,0
7,7
26,26
14,14
26,26
14,14
29,29
14,14
7,7
0,0
0,0
0,0
7,7
14,14
14,14
14,14
26,26
21,21
28,28
28,28
28,28
14,14
0,0
0,0
7,7
26,26
7,7
7,7
26,26
14,14
14,14
28,28
14,14
26,26
7,7
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
7,7
26,26
7,7
0,0
7,7
7,7
7,7
0,0
0,0
7,7
7,7
14,14
7,7
14,14
14,14
28,28
7,7
0,0
0,0
0,0
7,7
26,26
7,7
7,7
7,7
14,14
7,7
14,14
7,7
7,7
0,0
7,7
14,14
14,14
7,7
7,7
7,7
7,7
7,7
7,7
14,14
7,7
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
7,7
7,7
7,7
0,0
0,0
7,7
14,14
14,14
7,7
0,0
7,7
7,7
7,7
7,7
7,7
7,7
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
14,14
14,14
7,7
7,7
7,7
14,14
7,7
7,7
0,0
0,0
7,7
26,26
7,7
0,0
0,0
0,0
0,0
7,7
7,7
14,14
29,29
14,14
7,7
0,0
7,7
26,26
7,7
7,7
26,26
7,7
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
7,7
29,29
14,14
7,7
7,7
7,7
7,7
0,0
0,0
0,0
0,0
0,0
7,7
29,29
28,28
7,7
7,7
26,26
14,14
26,26
7,7
0,0
0,0
7,7
7,7
7,7
0,0
0,0
0,0
0,0
7,7
26,26
14,14
14,14
28,28
7,7
7,7
14,14
21,21
14,14
21,21
14,14
14,14
0,0
0,0
0,0
0,0
0,0
7,7
7,7
7,7
7,7
14,14
28,28
7,7
7,7
26,26
7,7
0,0
7,7
7,7
7,7
0,0
7,7
14,14
14,14
7,7
7,7
14,14
21,21
14,14
7,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
7,7
