tick,gini
0,27.960182
1,30.675903
2,36.52898
3,40.120693
4,42.27107
5,44.919315
6,47.31357
7,48.84443
8,50.68978
9,51.516506
10,49.886837
11,50.7324
12,50.166023
13,49.427147
14,50.700268
15,50.127254
16,50.13811
17,50.324226
18,50.694706
19,49.413662
20,49.84762
21,49.951088
22,50.00885
23,50.25795
24,50.708122
25,51.569077
26,52.524647
27,51.867325
28,52.43229
29,51.51635
30,51.72539
31,52.918198
32,53.750206
33,54.532024
34,55.702446
35,56.069603
36,56.624817
37,58.037636
38,58.348934
39,59.00114
40,58.224827
41,58.62166
42,59.36867
43,59.55896
44,59.392143
45,59.524284
46,59.632694
47,60.479244
48,61.07803
49,60.693027
50,60.794827
51,62.288094
52,62.885517
53,63.30953
54,64.75266
55,66.034836
56,66.15029
57,65.34091
58,65.594574
59,65.11167
60,65.38832
61,64.49911
62,65.22709
63,65.8073
64,65.27878
65,64.9861
66,64.28897
67,63.570225
68,63.30108
69,64.06062
70,65.00522
71,65.73268
72,65.68079
73,65.26915
74,65.09168
75,64.95343
76,63.79298
77,64.31148
78,64.545975
79,64.09314
80,63.66205
81,63.34162
82,62.904613
83,63.044346
84,63.33402
85,60.902637
86,59.12415
87,58.64999
88,59.0296
89,59.081825
90,59.320988
91,60.1471
92,60.97323
93,60.87145
94,61.624794
95,61.854042
96,60.686886
97,61.55542
98,61.812283
99,62.718548
100,62.78816
101,61.00458
102,59.494793
103,59.15512
104,59.44285
105,59.726894
106,58.620407
107,59.45342
108,59.49875
109,59.030994
110,59.06319
111,60.07236
112,59.328
113,59.7171
114,60.58745
115,60.112007
116,59.83439
117,59.72608
118,59.291965
119,59.52655
120,59.784317
121,60.466362
122,61.74397
123,62.94782
124,63.28519
125,63.654984
126,62.92466
127,63.720406
128,64.19471
129,63.59924
130,64.3281
131,62.937317
132,62.87981
133,63.82653
134,64.484245
135,64.53591
136,64.18018
137,65.14174
138,65.292946
139,65.80059
140,65.79094
141,65.22234
142,65.19086
143,65.72508
144,66.67699
145,66.460236
146,66.4398
147,67.64925
148,67.29571
149,66.78392
150,67.200386
151,66.57366
152,66.12226
153,64.69143
154,65.64534
155,63.248302
156,63.012638
157,64.17295
158,63.960392
159,62.62677
160,62.83746
161,62.874588
162,63.93656
163,63.54824
164,63.625454
165,63.85646
166,62.963215
167,62.47269
168,63.581184
169,62.518093
170,62.034527
171,62.746174
172,62.898407
173,62.576538
174,62.636635
175,63.032646
176,63.859276
177,63.3578
178,63.92001
179,63.78697
180,63.579376
181,62.458862
182,62.19295
183,62.36065
184,62.944263
185,63.163967
186,62.58941
187,63.30807
188,63.738415
189,63.34878
190,62.19166
191,62.305683
192,62.753117
193,62.78497
194,62.095127
195,62.937477
196,62.729378
197,62.79613
198,62.29
199,62.766808
200,63.251183
201,63.423058
202,63.80992
203,63.7622
204,63.768894
205,64.88195
206,63.36231
207,63.86843
208,62.67523
209,63.331146
210,63.130722
211,64.75498
212,64.988785
213,65.13233
214,64.9175
215,64.16761
216,64.62332
217,63.101868
218,63.57665
219,64.54276
220,63.337666
221,64.03701
222,64.08186
223,63.22246
224,63.97407
225,64.09656
226,64.712715
227,66.009254
228,65.6384
229,64.469475
230,65.378845
231,64.55766
232,64.34415
233,64.325005
234,63.452015
235,64.35754
236,64.186165
237,65.444725
238,65.55484
239,65.77831
240,66.58387
241,66.32203
242,66.31894
243,66.09886
244,66.989784
245,66.56805
246,67.2134
247,65.63645
248,65.65316
249,66.30171
250,65.84576
251,64.87907
252,63.8786
253,65.08482
254,65.60372
255,65.856026
256,64.62301
257,63.852947
258,64.11707
259,64.01123
260,63.32809
261,63.395973
262,62.799683
263,63.790337
264,64.06647
265,63.804455
266,65.18594
267,64.65712
268,65.127556
269,66.1055
270,65.10016
271,66.108345
272,66.43778
273,66.24899
274,65.85709
275,65.77552
276,65.77377
277,65.51254
278,66.17907
279,66.96849
280,65.381134
281,65.99987
282,64.466034
283,62.896492
284,63.700058
285,63.679234
286,64.36436
287,63.6278
288,63.80679
289,63.65718
290,64.66892
291,64.7252
292,64.87728
293,65.08028
294,63.81531
295,63.307526
296,62.713413
297,62.57775
298,63.396736
299,63.05466
300,63.95754
301,63.5635
302,63.578484
303,64.13905
304,65.09738
305,65.51662
306,65.272896
307,64.45329
308,65.38249
309,64.67681
310,64.12826
311,65.100975
312,65.192635
313,65.618965
314,65.746
315,65.43069
316,64.57791
317,63.50445
318,62.30852
319,62.02127
320,62.630173
321,62.704247
322,61.025166
323,60.94357
324,59.835526
325,60.300163
326,60.768227
327,60.456787
328,60.865517
329,60.32162
330,61.220318
331,61.386917
332,61.86572
333,62.366398
334,62.384537
335,63.164207
336,63.05111
337,62.77912
338,62.457386
339,61.15743
340,61.739075
341,61.839603
342,63.298523
343,63.43662
344,64.23997
345,63.879387
346,62.889786
347,63.322765
348,63.753952
349,62.9395
350,61.288906
351,61.347546
352,61.91289
353,62.387836
354,63.388897
355,62.96796
356,62.337307
357,62.39899
358,61.958565
359,62.603165
360,61.513805
361,61.246784
362,62.047146
363,62.743317
364,63.47129
365,63.15178
366,64.307785
367,64.443436
368,64.65978
369,65.56501
370,64.996284
371,64.10105
372,64.838844
373,63.51072
374,62.35184
375,61.402847
376,61.96023
377,61.40202
378,61.530754
379,61.23065
380,61.125587
381,61.493156
382,61.15843
383,61.1091
384,60.852947
385,61.214355
386,61.175068
387,60.958664
388,61.649815
