tick,gini
0,30.806171
1,35.633526
2,38.309372
3,40.47833
4,41.58274
5,43.395077
6,44.527313
7,46.3898
8,45.79993
9,45.934853
10,48.184418
11,48.67616
12,47.85355
13,48.53277
14,47.28849
15,47.956112
16,48.952812
17,49.250866
18,50.432674
19,51.47379
20,51.633926
21,51.37636
22,50.98681
23,51.574436
24,51.602196
25,51.250107
26,51.700455
27,51.72938
28,51.744587
29,51.961792
30,52.105244
31,52.281635
32,52.26278
33,53.233616
34,52.9958
35,54.0725
36,54.609997
37,54.820633
38,55.46399
39,54.710964
40,55.993225
41,56.638725
42,57.632763
43,57.713272
44,57.43677
45,57.71436
46,56.892174
47,57.786842
48,59.574253
49,60.475704
50,60.573353
51,62.20822
52,62.539375
53,64.01826
54,64.97447
55,64.722984
56,64.8514
57,65.16284
58,65.47522
59,64.78232
60,65.54018
61,65.25416
62,64.706116
63,64.1448
64,62.73781
65,63.13765
66,63.129505
67,63.81687
68,63.937965
69,64.278725
70,65.29674
71,65.78329
72,64.7412
73,65.834854
74,65.019714
75,64.35041
76,63.788246
77,65.36159
78,65.82398
79,64.56594
80,63.60643
81,64.96851
82,65.1502
83,65.05381
84,64.21695
85,62.873478
86,64.04619
87,63.19518
88,64.351265
89,63.784813
90,63.260994
91,62.794277
92,61.866177
93,61.787617
94,60.562717
95,61.097736
96,61.4183
97,61.771835
98,62.42684
99,63.340332
100,62.44655
101,61.8813
102,61.63383
103,62.16257
104,61.282627
105,61.520008
106,61.264656
107,62.294518
108,62.81599
109,63.71944
110,63.943012
111,64.34537
112,63.08039
113,61.89439
114,62.784187
115,63.2847
116,63.673573
117,63.469627
118,62.76289
119,63.709938
120,64.30925
121,64.32449
122,63.93051
123,65.16852
124,64.81563
125,65.6165
126,65.06986
127,64.10208
128,64.68156
129,65.14438
130,65.97426
131,65.4512
132,65.54636
133,65.340965
134,65.79591
135,66.38818
136,65.373924
137,65.75997
138,66.08289
139,65.48411
140,65.44654
141,66.09054
142,65.67212
143,64.72258
144,64.78534
145,65.39026
146,65.212326
147,63.74421
148,62.697674
149,63.22062
150,62.701504
151,62.052563
152,63.085445
153,63.208054
154,63.176838
155,61.51694
156,62.858524
157,60.89297
158,61.42516
159,61.97025
160,62.19759
161,62.02824
162,61.720406
163,61.05384
164,62.575676
165,62.439217
166,62.902348
167,63.01038
168,61.023697
169,61.411686
170,61.808334
171,61.819035
172,62.22847
173,62.085712
174,62.19686
175,61.922207
176,62.153885
177,62.09159
178,61.467323
179,60.7954
180,60.66765
181,61.876358
182,62.67735
183,62.52867
184,62.106663
185,63.050606
186,63.422935
187,63.04248
188,62.981308
189,62.555157
190,62.762215
191,62.050163
192,61.764442
193,62.210453
194,62.960407
195,63.063942
196,63.363377
197,63.46409
198,63.876957
199,64.47882
200,65.32172
201,63.722336
202,64.54022
203,64.23751
204,63.06401
205,63.669067
206,63.507732
207,63.938732
208,64.23705
209,64.14106
210,62.922707
211,63.599224
212,63.571022
213,63.51664
214,62.618748
215,63.405365
216,63.195763
217,63.637566
218,63.491676
219,63.875957
220,64.1053
221,64.54134
222,63.93842
223,64.24751
224,64.468956
225,65.0319
226,65.67757
227,66.65451
228,66.69663
229,67.34482
230,68.0201
231,68.283714
232,68.08801
233,67.00611
234,67.80914
235,69.06432
236,68.95856
237,69.41768
238,69.395836
239,69.88386
240,69.576996
241,69.89803
242,69.301285
243,68.23191
244,68.76943
245,69.22988
246,69.697174
247,68.33371
248,68.152245
249,68.93744
250,67.43283
251,65.736015
252,66.335175
253,65.60228
254,66.36666
255,65.80973
256,65.2872
257,66.14864
258,65.19241
259,64.73971
260,64.32155
261,63.792217
262,63.318665
263,64.5573
264,65.67985
265,64.704475
266,65.00922
267,65.297134
268,63.65413
269,64.513535
270,64.63551
271,63.223923
272,62.903816
273,63.15193
274,63.85451
275,64.61656
276,65.04743
277,65.82514
278,66.54241
279,65.71297
280,65.05707
281,66.00693
282,65.64543
283,64.867065
284,64.88075
285,64.27686
286,63.985386
287,64.121
288,64.15367
289,63.213814
290,62.91516
291,62.78856
292,64.18391
293,63.70521
294,64.53356
295,64.6123
296,63.741203
297,65.042435
298,65.539925
299,65.10459
300,65.07969
301,65.32951
302,65.31352
303,65.12772
304,64.57748
305,65.147446
306,66.181206
307,67.18202
308,65.930756
309,66.39611
310,64.559326
311,64.979805
312,65.5446
313,64.23418
314,64.50122
315,66.16047
316,66.51957
317,67.104965
318,66.80362
319,66.13774
320,65.45984
321,65.79249
322,65.37174
323,65.873886
324,66.476814
325,66.973656
326,67.02612
327,66.50016
328,65.72739
329,65.83065
330,66.289795
331,66.91287
332,66.72906
333,67.71506
334,68.14709
335,69.26878
336,68.955055
337,69.030365
338,69.42677
339,68.46945
340,69.13722
341,69.385635
342,68.40554
343,68.14985
344,67.85457
345,67.08269
346,66.18903
347,67.41241
348,67.43686
349,68.38702
350,68.28768
351,67.501434
352,68.062996
353,66.99987
354,66.78235
355,66.52914
356,66.686775
357,65.7387
358,65.72409
359,66.479065
360,66.85301
361,66.92542
362,67.06297
363,67.19807
364,66.80486
365,66.3956
366,67.05696
367,66.33885
368,66.52967
369,66.12352
370,66.005516
371,66.1658
372,66.035614
373,65.215324
374,64.4452
375,64.43837
376,63.70912
377,64.34056
378,60.729248
379,61.00484
380,59.936634
381,59.93439
382,59.98093
383,59.934124
384,60.256664
385,60.28303
386,61.18403
387,60.730717
388,61.26495
389,61.528812
390,61.88879
391,61.963924
392,62.501045
393,62.09513
