tick,gini
0,32.841213
1,34.262146
2,36.325565
3,39.22771
4,40.412876
5,40.615143
6,41.252033
7,41.19551
8,42.2293
9,43.481647
10,45.266033
11,46.75297
12,49.255405
13,51.007957
14,48.659534
15,50.250076
16,51.6613
17,53.027008
18,53.35178
19,54.433544
20,53.067043
21,53.472153
22,54.46304
23,55.29989
24,56.196323
25,56.12158
26,57.679787
27,57.923336
28,59.081326
29,57.79835
30,56.95876
31,56.553352
32,56.647118
33,57.3206
34,57.64455
35,58.78758
36,59.25205
37,58.17462
38,57.314453
39,58.074413
40,58.78256
41,57.580067
42,58.59946
43,58.901466
44,59.82104
45,59.282124
46,60.614212
47,61.238068
48,60.8996
49,61.802635
50,61.45992
51,60.986843
52,61.0214
53,61.248344
54,60.1032
55,61.303104
56,61.100063
57,61.88727
58,61.39366
59,61.334423
60,61.4591
61,60.38367
62,60.92588
63,61.726173
64,62.097282
65,61.850178
66,61.306213
67,61.47895
68,61.034607
69,62.12752
70,61.547268
71,61.096806
72,60.571022
73,59.366653
74,58.862015
75,58.950626
76,57.273735
77,58.264637
78,58.663162
79,59.241653
80,58.93555
81,58.780514
82,58.753265
83,56.779408
84,56.52257
85,55.532047
86,55.113716
87,55.533215
88,56.899807
89,56.72279
90,55.396854
91,55.739567
92,56.487625
93,55.64191
94,57.326008
95,58.28752
96,58.915142
97,59.71314
98,59.1906
99,58.807842
100,59.110355
101,59.466415
102,59.947044
103,60.346096
104,61.38346
105,62.06567
106,62.316113
107,62.805855
108,63.86326
109,63.52809
110,63.74395
111,62.287903
112,60.74006
113,61.833614
114,61.603996
115,61.029713
116,61.1306
117,62.35755
118,63.4353
119,63.850998
120,64.56091
121,64.86225
122,64.99115
123,65.28267
124,65.75212
125,66.0605
126,65.05211
127,63.50263
128,64.00645
129,64.86094
130,65.16986
131,62.979485
132,62.094116
133,62.904293
134,63.81073
135,62.464428
136,63.048656
137,60.915787
138,58.252895
139,58.052174
140,57.08662
141,57.684258
142,58.543636
143,59.87704
144,60.255196
145,60.106544
146,59.795444
147,60.06377
148,61.0297
149,62.183895
150,63.181618
151,63.656857
152,63.938763
153,63.584873
154,63.75728
155,63.98833
156,62.725956
157,62.037884
158,61.675175
159,62.83886
160,62.16044
161,60.979275
162,60.71013
163,61.003838
164,61.195427
165,61.854324
166,61.356785
167,60.469364
168,59.535065
169,59.28615
170,59.625965
171,60.146183
172,60.35112
173,59.958664
174,60.585056
175,61.006054
176,60.577858
177,60.129456
178,61.38692
179,60.23506
180,61.21145
181,60.610413
182,60.40234
183,60.74291
184,60.79298
185,61.66466
186,60.110176
187,60.49585
188,59.1106
189,58.77354
190,58.15963
191,58.5788
192,59.33823
193,59.00125
194,60.652718
195,60.74296
196,60.072716
197,57.90674
198,56.982388
199,58.136784
200,59.091904
201,59.58566
202,58.93151
203,59.933678
204,60.58323
205,60.454025
206,59.72227
207,60.80936
208,62.1188
209,62.69157
210,62.120716
211,61.31414
212,60.507153
213,61.668976
214,61.412888
215,62.693905
216,60.109528
217,59.930904
218,59.80963
219,59.366383
220,60.183205
221,59.23044
222,57.899563
223,57.728848
224,56.985683
225,58.070435
226,58.231506
227,58.890877
228,59.597736
229,59.653816
230,59.31022
231,59.698788
232,60.318527
233,59.867626
234,59.858074
235,59.210194
236,59.760895
237,60.108242
238,58.608215
239,59.661713
240,60.25374
241,60.507984
242,60.42201
243,60.293045
244,60.796055
245,59.583397
246,60.190483
247,59.85087
248,61.586914
249,61.256386
250,61.882526
251,61.805107
252,62.386044
253,62.891552
254,62.558884
255,63.78037
256,63.367764
257,62.956184
258,62.177162
259,61.424084
260,62.130173
261,62.390823
262,62.53605
263,62.734528
264,62.353737
265,62.7506
266,61.745304
267,61.47149
268,60.398678
269,60.29587
270,60.630363
271,61.28218
272,60.17942
273,59.7845
274,59.931908
275,60.635128
276,60.98366
277,61.3225
278,62.11819
279,62.20167
280,61.286926
281,62.088966
282,62.018074
283,62.04424
284,61.62487
285,62.1839
286,63.330437
287,63.70896
288,64.2797
289,63.776077
290,64.66485
291,63.75081
292,64.75156
293,64.557236
294,64.850624
295,65.63185
296,65.53915
297,66.08774
298,66.655266
299,63.60163
300,63.488224
301,62.24724
302,63.14855
303,63.72481
304,63.734707
305,63.22551
306,61.42963
307,60.811337
308,60.474117
309,60.29112
310,60.70965
311,60.264507
312,59.653946
313,59.0557
314,58.998302
315,58.035572
316,59.39919
317,59.73856
318,58.440388
319,59.59087
320,58.07588
321,57.521973
322,58.091434
323,58.62885
324,56.991512
325,57.784
326,58.684544
327,58.421524
328,56.975502
329,58.244656
330,57.675667
331,58.532085
332,58.922024
333,59.591496
334,60.04685
335,60.68996
336,61.263123
337,61.199837
338,61.1514
339,62.517456
340,62.579212
341,62.883163
342,62.986847
343,62.425873
344,63.048634
345,61.887394
346,61.899864
347,61.265163
348,60.677708
349,60.35534
350,61.423264
351,61.95196
352,61.894516
353,62.574646
354,62.70117
355,62.279858
356,63.49158
357,64.3171
358,63.130775
359,62.811382
360,63.01523
361,62.493122
362,61.707497
363,61.796192
364,60.942364
365,61.145546
366,62.328594
367,64.21403
368,64.143166
369,64.36753
370,64.371635
371,63.641182
372,64.09359
373,62.86663
374,62.725563
375,62.626175
376,63.38415
377,62.491425
378,61.91205
379,61.555817
380,61.777145
381,62.55454
382,63.739548
383,63.419884
384,62.71785
385,62.849205
386,63.70081
387,62.403698
388,60.97438
389,61.886047
390,60.931458
391,58.768574
392,59.256187
393,59.47957
394,60.561108
395,60.704983
396,60.174507
397,59.78184
398,59.91695
399,58.633984
400,59.154697
401,59.506485
402,60.91953
403,61.09336
404,59.747684
405,59.682644
406,60.444492
407,61.141586
408,61.325047
409,60.986275
410,61.505405
411,62.81172
412,63.033325
413,61.58604
414,62.128517
415,60.01864
416,60.537872
417,62.392445
418,62.073257
419,62.706535
420,61.493977
421,60.54031
422,60.657917
423,61.580856
424,60.77539
425,59.84296
426,60.000286
427,59.321144
428,59.5032
429,60.06775
430,59.555984
431,60.563374
432,60.396873
433,60.03397
434,60.275955
435,59.903854
436,59.979248
437,60.613598
438,61.07244
439,61.69752
440,61.783245
441,60.223392
442,60.607418
443,60.908257
444,61.788525
445,61.56157
446,60.39078
447,59.87885
448,59.42839
449,59.127598
450,58.843006
451,58.553413
452,57.646664
453,58.48008
454,57.358482
455,56.64446
456,57.33131
457,57.14171
458,57.229008
459,57.200565
460,59.073086
461,60.25437
462,61.73579
463,61.92671
464,60.623554
465,59.80751
466,59.666504
467,59.27841
468,60.543144
469,61.58658
470,62.491447
471,62.30196
472,61.56012
473,62.05374
474,63.315674
475,63.19944
476,62.651894
477,61.604492
478,61.33572
479,61.703274
480,61.535934
481,61.05021
482,61.438255
483,61.510372
484,62.328754
485,62.56333
486,62.81197
487,63.019497
488,63.23615
489,62.31058
490,62.241703
491,62.776226
492,64.01515
493,63.702892
494,64.43111
495,63.73502
496,65.401306
497,65.73149
498,64.8565
499,64.41176
500,62.71898
