tick,gini
0,32.803986
1,32.165833
2,34.687996
3,38.36116
4,43.551285
5,49.36832
6,55.23278
7,59.524185
8,62.934258
9,65.99938
10,68.99761
11,70.25734
12,71.3062
13,72.00732
14,72.5349
15,72.83951
16,73.5132
17,73.587616
18,73.649284
19,73.29046
20,73.10718
21,72.71424
22,72.10069
23,71.4541
24,70.761826
25,69.72457
26,69.051346
27,67.99188
28,66.65689
29,66.15231
30,66.04517
31,66.04881
32,66.037
33,65.48355
34,65.13422
35,64.30278
36,63.862186
37,63.554985
38,63.202225
39,62.887604
40,62.471947
41,62.10931
42,61.63679
43,61.717422
44,62.079723
45,62.843018
46,63.151024
47,63.172424
48,63.19421
49,63.104267
50,63.242607
51,63.30274
52,62.8781
53,62.718727
54,62.399296
55,62.269234
56,61.93101
57,61.820866
58,61.679287
59,61.640244
60,61.666992
61,61.696835
62,61.553524
63,61.663204
64,61.702946
65,61.560173
66,61.381104
67,61.268753
68,61.53933
69,61.579235
70,61.866158
71,62.09736
72,62.524437
73,62.949795
74,63.069454
75,63.097755
76,63.33528
77,63.11425
78,62.901764
79,62.65152
80,62.347057
81,62.119778
82,61.896164
83,61.819595
84,61.704952
85,61.936737
86,62.05619
87,62.38203
88,62.667294
89,62.653687
90,62.755665
91,62.94989
92,62.85888
93,62.69312
94,62.695694
95,62.62215
96,62.58805
97,62.558678
98,62.823177
99,62.953457
100,62.886894
101,62.924824
102,63.114445
103,63.251904
104,63.45898
105,63.653667
106,63.78638
107,63.711903
108,63.929775
109,64.19916
110,64.53505
111,65.03917
112,65.63698
113,65.81498
114,66.32655
115,66.713524
116,67.20929
117,67.54611
118,67.732994
119,67.86771
120,67.90203
121,68.00612
122,68.1785
123,68.10905
124,68.04722
125,68.12052
126,68.21311
127,68.37108
128,68.57719
129,68.78206
130,68.839874
131,69.0373
132,69.27436
133,69.39625
134,69.567604
135,69.764824
136,70.1017
137,70.21816
138,70.28258
139,70.52143
140,70.75899
141,71.11324
142,71.268036
143,71.20616
144,71.20414
145,71.03983
146,70.80629
147,70.810974
148,70.54589
149,70.42111
150,70.27336
151,70.313675
152,70.20365
153,70.18107
154,70.228386
155,70.258125
156,70.35312
157,70.52312
158,70.40742
159,70.501656
160,70.5217
161,70.62694
162,70.609024
163,70.65766
164,70.77808
165,71.08167
166,71.17839
167,70.86361
168,70.729904
169,70.786125
170,70.45231
171,70.352486
172,70.624
173,70.7334
174,71.0175
175,71.32184
176,71.410164
177,71.58068
178,71.60069
179,71.56999
180,71.59336
181,71.37941
182,71.20812
183,70.966934
184,70.72436
185,70.34596
186,70.05053
187,69.71544
188,69.758415
189,69.56505
190,69.52312
191,69.4167
192,69.373955
193,69.3196
194,69.3238
195,69.69811
196,70.05351
197,70.26313
198,70.35692
199,70.41026
200,70.42831
201,70.3413
202,70.3067
203,70.35799
204,70.63129
