tick,gini
0,33.48704
1,33.008987
2,35.403446
3,39.464424
4,43.899536
5,48.081482
6,52.388382
7,55.469524
8,58.57486
9,60.330303
10,62.56889
11,63.26733
12,63.510338
13,63.218224
14,63.625084
15,63.095715
16,63.04828
17,63.21622
18,64.19175
19,64.61425
20,65.36851
21,65.455284
22,65.97236
23,66.49076
24,66.7783
25,67.114746
26,66.90802
27,66.87392
28,66.788246
29,66.49474
30,66.080605
31,65.55783
32,65.35212
33,65.34474
34,65.49123
35,65.211296
36,64.7034
37,64.39392
38,64.02809
39,63.466858
40,62.645744
41,62.08957
42,61.218353
43,60.731342
44,60.765247
45,60.64635
46,60.368927
47,60.538513
48,60.741467
49,60.97072
50,61.18746
51,61.386078
52,61.464855
53,61.49491
54,61.35105
55,61.104973
56,61.150196
57,61.016376
58,61.027668
59,61.016056
60,61.35718
61,61.373215
62,61.595665
63,62.1476
64,62.68091
65,62.9013
66,62.89699
67,62.748642
68,62.412083
69,62.29828
70,62.447216
71,62.38893
72,62.23878
73,61.850056
74,61.583103
75,61.513332
76,61.461067
77,61.466606
78,61.04701
79,60.624317
80,60.211254
81,60.024864
82,60.05927
83,60.01426
84,59.980507
85,59.891052
86,60.13803
87,60.2195
88,60.24075
89,60.343052
90,60.22145
91,60.221714
92,60.049316
93,59.96291
94,59.801937
95,59.821617
96,59.77682
97,59.453682
98,59.25663
99,59.11408
100,58.80488
101,58.52582
102,58.362247
103,58.37346
104,58.241795
105,58.190605
106,58.013386
107,57.99109
108,57.90117
109,58.049366
110,58.312916
111,58.383995
112,58.735886
113,59.260014
114,59.64753
115,60.008713
116,60.36358
117,60.5288
118,60.815758
119,60.891922
120,60.92556
121,61.282455
122,61.7238
123,62.26744
124,62.79245
125,63.167652
126,63.50363
127,63.87658
128,64.08082
129,64.186844
130,64.3834
131,64.36192
132,64.67176
133,65.05041
134,65.22755
135,65.13637
136,64.839005
137,64.819466
138,64.8515
139,64.846275
140,64.627815
141,64.67462
142,64.63922
143,64.51233
144,64.71993
145,64.55355
146,64.440575
147,64.271706
148,64.023476
149,63.97022
150,63.90274
151,63.979557
152,63.971756
153,64.01571
154,63.851295
155,64.015724
156,63.926346
157,63.811005
158,63.743332
159,63.74591
160,63.76504
161,63.63557
162,63.634235
163,63.44044
164,63.57179
165,63.425304
166,63.301155
167,63.18102
168,63.248962
169,63.54672
170,63.578995
171,63.6702
172,63.790367
173,64.08192
174,64.11175
175,64.20644
176,63.938637
177,64.12344
178,64.22346
179,64.15426
180,64.333855
181,64.3177
182,64.317696
183,64.310486
184,64.579926
185,65.03228
186,65.3106
187,65.74702
188,65.88406
189,65.85044
190,65.91078
191,65.83694
192,65.74906
193,65.877235
194,66.16581
195,66.19826
196,66.39405
197,66.46975
198,66.6764
199,66.74682
200,66.8982
201,66.95753
202,67.007805
203,66.99742
204,66.80406
205,66.58518
206,66.26688
207,66.165054
208,66.118225
209,66.375015
210,66.41159
211,66.19402
212,65.87273
213,65.851944
214,65.90782
215,65.85635
216,65.64899
217,65.39408
218,65.35741
219,65.29274
220,65.477196
221,65.3867
222,65.54051
223,65.969894
224,66.38053
225,66.89047
226,67.49529
227,67.855934
228,68.276146
229,68.40645
230,68.494995
231,68.594055
232,68.82518
233,68.79775
234,68.83654
235,68.80496
236,68.8385
237,68.831085
238,68.86496
239,68.655876
240,68.44006
241,68.2292
242,68.24837
243,68.21808
244,68.297516
245,68.21387
246,68.151344
247,68.20334
248,68.09826
249,68.15434
250,68.123886
251,68.18797
252,68.1324
253,68.31103
254,68.41709
255,68.41363
256,68.11157
257,67.84527
258,67.49486
259,67.089386
260,66.701965
261,66.325874
262,66.089645
263,65.80497
264,65.61188
265,65.31503
266,64.924416
267,64.69344
268,64.47247
269,64.39506
270,64.46458
271,64.68985
272,64.89709
273,65.29372
274,65.74108
275,65.97857
276,66.0672
277,66.34523
278,66.59321
279,66.72149
280,66.79265
281,66.71825
282,66.767136
283,66.760735
284,66.73158
285,66.76824
286,66.86918
287,67.02459
288,67.04446
289,67.02049
290,67.211945
291,67.238525
292,67.389656
293,67.33395
294,67.40515
295,67.40401
296,67.337135
297,67.3949
298,67.44616
299,67.48341
300,67.28624
301,66.917786
302,66.677734
303,66.46748
304,66.187904
305,66.12983
306,65.79232
307,65.74606
308,65.69083
309,65.60641
310,65.55481
311,65.34179
312,65.375854
313,65.19747
314,64.93887
315,64.73616
316,64.62031
317,64.67654
318,64.81218
319,65.0489
320,65.44207
321,65.5067
322,65.45703
323,65.552345
324,65.54115
325,65.77793
326,66.07696
327,66.23882
328,66.29291
329,66.1894
330,66.26726
331,66.11496
332,66.02945
333,65.98744
334,66.0696
335,66.112785
336,66.3099
337,66.573906
338,66.73149
339,66.98728
340,67.38848
341,67.736
342,67.94328
343,68.251076
344,68.504875
345,68.62245
346,68.653755
347,68.69646
348,68.87529
349,68.87903
350,68.83366
351,68.84285
352,68.81238
353,68.82208
354,68.82408
355,68.85577
356,68.8737
357,68.96859
358,68.91135
359,68.86053
360,68.72644
361,68.60165
362,68.59295
363,68.79486
364,68.87419
365,69.07636
366,69.28559
367,69.391716
368,69.66189
369,69.91142
370,70.07771
371,70.34421
372,70.34005
373,70.440285
374,70.70483
375,70.80668
376,70.95178
377,70.91863
378,70.86526
379,70.91256
380,71.11255
381,71.284134
382,71.252304
383,71.17355
384,71.201675
385,71.10931
386,71.0829
387,71.17627
388,71.29321
389,71.52212
390,71.72065
391,72.0505
392,72.42233
393,72.5819
394,72.779
395,73.06553
396,73.33601
397,73.34135
398,73.456825
399,73.54845
400,73.71858
401,73.701866
402,73.636826
403,73.696754
404,73.68971
405,73.72275
406,73.85111
407,73.92935
408,74.00123
409,74.17981
410,74.23334
411,74.24336
412,74.39174
413,74.36184
414,74.38153
415,74.358665
416,74.48039
417,74.44297
418,74.38868
419,74.31911
420,74.27965
421,74.37084
422,74.4246
423,74.59014
424,74.68597
425,74.70851
426,74.47254
427,74.29229
428,74.12167
429,74.17922
430,74.15999
431,74.32103
432,74.237206
433,74.28518
434,74.09588
435,74.001274
436,73.92623
437,73.86745
438,73.934875
439,74.22967
440,74.315315
441,74.36336
442,74.31509
443,74.34317
444,74.13605
445,73.939926
446,73.89521
447,73.86689
448,74.02319
449,74.10926
450,74.17174
451,74.237076
452,74.33251
453,74.32514
454,74.3534
455,74.20754
456,74.17349
457,74.16827
458,74.189445
459,74.26274
460,74.28069
461,74.37192
462,74.494446
463,74.55022
464,74.58365
465,74.47135
466,74.411995
467,74.50666
468,74.51612
469,74.51058
470,74.44362
471,74.40783
472,74.37916
473,74.162834
474,74.164795
475,74.09402
476,74.02631
477,74.21408
478,74.21193
479,74.270386
480,74.13192
481,74.01474
482,73.99107
483,74.05863
484,74.00195
485,73.97956
486,73.8825
487,73.82711
488,73.561615
489,73.51042
490,73.527115
491,73.39247
492,73.29384
493,73.27782
494,73.04348
495,72.875404
496,72.92225
497,72.88025
498,72.658646
499,72.645355
500,72.79017
