tick,gini
0,31.962086
1,33.10711
2,33.800137
3,34.21373
4,37.41553
5,39.649548
6,42.962223
7,44.083294
8,46.87733
9,46.55623
10,47.473442
11,47.38275
12,46.759647
13,49.20798
14,52.94275
15,52.438293
16,53.1278
17,55.706497
18,57.213177
19,57.874256
20,57.584766
21,57.77067
22,59.020367
23,58.814083
24,57.96915
25,57.89531
26,58.26971
27,58.155903
28,58.624596
29,57.44384
30,57.887337
31,59.33255
32,59.1246
33,59.70001
34,60.87016
35,61.05348
36,60.469517
37,58.583794
38,57.849808
39,59.002563
40,59.49178
41,59.76537
42,59.4138
43,59.552208
44,60.016224
45,61.213158
46,61.01376
47,60.382107
48,61.878956
49,61.614864
50,61.373165
51,61.112423
52,60.810555
53,61.197285
54,62.632515
55,63.185787
56,63.97513
57,65.33521
58,64.82201
59,63.893944
60,63.465237
61,63.58291
62,64.29476
63,64.37898
64,65.01613
65,66.212204
66,66.79599
67,64.871254
68,65.269875
69,65.49683
70,65.26284
71,65.62186
72,66.843956
73,66.95565
74,68.11623
75,67.461044
76,66.84806
77,65.32753
78,65.083954
79,64.928085
80,65.294945
81,66.015396
82,65.02831
83,66.525795
84,65.768684
85,65.15949
86,64.850945
87,64.29258
88,64.695045
89,65.79319
90,65.121475
91,64.812965
92,64.4379
93,63.734756
94,63.27575
95,63.396378
96,64.45834
97,65.079056
98,65.98303
99,66.231346
100,65.775154
101,66.63318
102,66.039345
103,65.19368
104,66.9063
105,66.07283
106,66.724304
107,65.50587
108,65.71085
109,64.585266
110,64.829285
111,63.122826
112,63.63533
113,63.2286
114,63.097702
115,63.87038
116,63.099503
117,63.49679
118,63.890728
119,64.09281
120,64.413445
121,65.37127
122,66.63793
123,65.38347
124,66.047295
125,65.598816
126,64.843575
127,64.507774
128,64.29506
129,65.747345
130,65.701805
131,66.93465
132,66.571304
133,65.15216
134,64.96137
135,64.84805
136,64.16477
137,63.701813
138,61.515667
139,61.497
140,61.0643
141,63.05549
142,64.14792
143,63.209656
144,63.440083
145,62.712685
146,62.99519
147,62.38108
148,63.394096
149,63.60821
150,63.306602
151,64.80213
152,63.471176
153,63.81693
154,64.27986
155,63.443966
156,64.545944
157,64.30774
158,64.8108
159,63.704548
160,64.11982
161,62.15308
162,62.987514
163,63.516277
164,64.44403
165,64.69148
166,64.72654
167,65.079865
168,65.35667
169,65.41039
170,65.50389
171,67.09531
172,67.73739
173,67.970825
174,66.86247
175,66.33781
176,66.157845
177,65.58838
178,65.81923
179,65.45426
180,65.47726
181,64.99839
182,66.156075
183,66.251236
184,67.04839
185,66.37732
186,66.50986
187,65.88176
188,66.42521
189,66.26663
190,67.31007
191,67.84972
192,67.624115
193,66.12755
194,65.98885
195,66.84665
196,65.83313
197,65.81226
198,65.8842
199,65.10997
200,64.82282
201,64.914825
202,63.58989
203,64.17179
204,64.93905
205,65.77258
206,65.50888
207,65.084915
208,65.25713
209,66.137054
210,66.500206
211,65.72115
212,65.955765
213,64.81334
214,64.35012
215,63.28882
216,63.767048
217,65.65559
218,65.488754
219,65.21646
220,64.110085
221,64.641396
222,64.528366
223,63.937798
224,64.06369
225,65.303955
226,64.7435
227,64.73588
228,64.68583
229,66.21554
230,66.102806
231,66.58563
232,66.48666
233,66.3444
234,65.94524
235,64.20875
236,64.15215
237,64.83394
238,64.99447
239,65.744354
240,64.742874
241,63.959652
242,64.24935
243,63.03064
244,64.5661
245,64.46874
246,63.971153
247,62.174816
248,62.729366
249,63.50575
250,62.995834
251,63.48613
252,62.87123
253,64.32877
254,64.831436
255,64.013016
256,65.7454
257,66.5774
258,64.7559
259,65.072624
260,64.20978
261,62.276203
262,61.807545
263,61.26991
264,62.29566
265,60.592793
266,59.7834
267,59.607925
268,60.078903
269,60.383198
270,60.84408
271,61.443497
272,61.042046
273,60.021023
274,60.16136
275,60.069973
276,60.09199
277,60.52478
278,59.45765
279,59.526653
280,60.502193
281,60.49859
282,60.85774
283,61.181156
284,61.833687
285,62.193455
286,62.12449
287,63.649628
288,63.30417
289,62.737816
290,62.766735
291,62.647152
292,63.114502
293,63.147594
294,62.190426
295,62.418064
296,62.148712
297,63.35039
298,63.799126
299,64.05138
300,64.63276
