tick,gini
0,27.960182
1,22.019653
2,24.380932
3,26.685583
4,28.217157
5,29.360456
6,31.069328
7,34.32605
8,36.40848
9,36.778206
10,38.528263
11,40.42767
12,41.999546
13,42.806942
14,46.266987
15,46.272923
16,47.150623
17,47.579227
18,48.454052
19,49.31468
20,49.81484
21,50.070045
22,50.396233
23,50.784336
24,51.25495
25,52.079533
26,52.198322
27,51.918365
28,53.005306
29,54.083374
30,54.54585
31,54.350964
32,55.28867
33,55.456654
34,56.643154
35,57.33185
36,57.833416
37,59.623924
38,60.05274
39,59.935795
40,59.68043
41,59.679577
42,59.896595
43,60.767838
44,59.990498
45,60.553112
46,60.98324
47,61.144085
48,61.28197
49,61.909588
50,62.705147
51,63.947517
52,63.526756
53,62.990875
54,63.055866
55,63.53972
56,63.079235
57,64.633484
58,63.933895
59,63.811966
60,63.23567
61,63.057274
62,63.00512
63,64.21058
64,64.03183
65,64.12254
66,64.5418
67,63.61587
68,63.366997
69,63.991703
70,64.26795
71,64.737686
72,66.27574
73,67.58829
74,67.1956
75,66.84869
76,65.53341
77,65.49414
78,66.399315
79,66.237976
80,66.91935
81,67.33996
82,65.84648
83,65.49887
84,65.41103
85,64.32367
86,64.10693
87,63.829033
88,63.215706
89,63.65208
90,63.732254
91,62.878277
92,62.232616
93,63.339806
94,63.306
95,63.322495
96,63.043045
97,62.751392
98,63.356705
99,62.92794
100,62.586666
101,62.63072
102,62.497093
103,61.798233
104,61.63379
105,61.46876
106,60.810738
107,60.928844
108,60.96272
109,61.813396
110,61.211994
111,60.849926
112,60.759285
113,60.89362
114,60.464546
115,60.27333
116,60.241467
117,60.944996
118,61.679153
119,62.596565
120,62.956886
121,64.02891
122,64.183624
123,63.66726
124,64.10603
125,64.43618
126,64.03795
127,64.088
128,63.714996
129,62.907543
130,63.453354
131,63.1259
132,63.05603
133,62.423256
134,61.845398
135,62.61304
136,62.023335
137,62.53361
138,62.343548
139,62.2835
140,61.523193
141,62.2902
142,62.118965
143,62.918987
144,63.278824
145,62.6126
146,62.867317
147,63.4551
148,62.61293
149,62.512512
150,63.978245
151,62.922714
152,62.516735
153,62.679726
154,62.699326
155,63.29746
156,63.302658
157,62.66557
158,63.610325
159,64.32567
160,64.801254
161,63.896263
162,64.48608
163,63.839573
164,64.30997
165,63.509327
166,64.126495
167,64.73354
168,64.17707
169,63.497856
170,63.266464
171,63.783627
172,63.296364
173,63.8849
174,63.722355
175,63.907684
176,63.11635
177,63.29864
178,63.462666
179,63.911896
180,64.92969
181,63.926273
182,64.64295
183,64.852356
184,64.54445
185,64.46338
186,65.89096
187,66.39442
188,65.89487
189,66.902084
190,67.14672
191,67.518326
192,67.60146
193,68.13485
194,67.87299
195,67.66676
196,67.12077
197,66.29306
198,65.45251
199,65.398506
200,64.951866
201,65.51984
202,65.66616
203,65.56714
204,64.667046
205,65.582535
206,66.06531
207,65.255684
208,65.99427
209,67.20142
210,66.70579
211,66.74184
212,66.392876
213,66.06131
214,66.92039
215,66.38729
216,66.309296
217,66.52327
218,66.10256
219,65.640335
220,65.68079
221,65.695175
222,65.81291
223,65.0607
224,64.40658
225,64.2713
226,64.09672
227,63.079895
228,62.515846
229,61.656227
230,60.725147
231,60.93799
232,60.46012
233,60.14662
234,60.701225
235,60.247635
236,59.869896
237,59.14268
238,59.47983
239,60.958134
240,62.101795
241,61.944473
242,62.979637
243,63.965466
244,64.037605
245,64.09852
246,64.53347
247,64.364815
248,64.33312
249,64.47309
250,64.86829
251,63.946304
252,65.12668
253,64.76909
254,65.489136
255,65.713905
256,66.000626
257,65.02123
258,65.15991
259,65.669075
260,65.26224
261,65.06957
262,65.04598
263,64.21594
264,64.54431
265,64.33223
266,63.48227
267,63.50303
268,64.035255
269,64.446075
270,64.01442
271,63.183025
272,62.812233
273,62.172153
274,62.107635
275,61.663708
276,60.955364
277,60.83318
278,60.448105
279,60.67584
280,60.044136
281,59.451496
282,59.131428
283,59.294388
284,60.831696
285,60.211025
286,61.26996
287,61.870102
288,62.211662
289,62.470932
290,62.418358
291,62.780888
292,62.19987
293,62.819565
294,62.767696
295,62.156704
296,62.39058
297,62.87803
298,63.84048
299,63.27531
300,63.11727
301,63.052155
302,63.561092
303,63.71888
304,62.040817
305,61.506603
306,61.26185
307,60.44742
308,59.425644
309,59.561474
310,60.118134
311,61.161934
312,61.77879
313,61.439934
314,62.109684
315,61.309387
316,61.045795
317,61.447132
318,60.92019
319,60.3302
320,60.43121
321,60.274673
322,61.382095
323,61.51666
324,61.963085
325,61.17431
326,61.01182
327,61.20028
328,59.739834
329,60.55781
330,59.464863
331,59.578224
332,60.513527
333,61.35362
334,61.677456
335,60.880375
336,61.53497
337,62.55091
338,63.166187
339,63.43586
340,63.615738
341,63.250168
342,63.309734
343,63.11725
344,64.15582
345,65.16733
346,64.230484
347,64.57685
348,64.95247
349,66.0987
350,66.24109
351,66.09444
352,65.86931
353,66.39064
354,65.39169
355,65.350624
356,64.72266
357,65.51562
358,66.40608
359,67.24678
360,67.1491
361,66.662704
362,65.851875
363,65.40721
364,66.0483
365,66.418144
366,66.24562
367,67.36071
368,67.64058
369,67.81251
370,67.8789
371,67.91561
372,67.110176
373,66.762344
374,66.41069
375,65.68038
376,64.88862
377,64.05396
378,63.42965
379,63.739655
380,64.65223
381,64.39257
382,63.68029
383,64.43226
384,64.65216
385,65.67027
386,65.71871
387,65.61487
388,66.05824
389,65.919266
390,65.97093
391,66.0145
392,66.11232
393,64.51466
394,64.81601
395,63.8414
396,63.492672
397,62.519966
398,62.512318
399,63.060493
400,63.208035
401,63.500847
402,64.01186
403,63.964806
404,62.63572
405,63.203865
406,63.50268
407,63.714264
408,63.012733
409,62.577576
410,62.988533
411,62.843086
412,62.72797
413,62.683647
414,62.77826
415,63.870377
416,63.514366
417,63.56937
418,63.39129
419,63.671085
420,63.101635
421,64.53297
422,64.749146
423,65.15965
424,65.29433
425,65.27223
426,64.77654
427,64.4297
428,63.934566
429,63.828156
430,64.3475
431,64.220406
432,64.57762
433,64.59979
434,64.53984
435,65.2019
436,65.46203
437,65.21545
438,66.22962
439,66.568726
440,66.202515
441,66.040245
442,65.90196
443,64.661316
444,64.157166
445,64.13871
446,64.091606
447,64.58497
448,65.06365
449,64.47966
450,64.348915
451,65.04711
452,64.43969
453,63.71923
454,63.59393
455,63.52384
456,63.27457
457,62.56523
458,62.58656
459,62.54963
460,62.26369
461,61.24301
462,61.091408
463,60.692127
464,61.431744
465,61.717407
466,62.462166
467,63.59299
468,62.549763
469,63.338425
470,64.150375
471,63.594765
472,63.07149
473,62.62137
474,63.23102
475,64.3732
476,65.04419
477,64.32776
478,65.24448
479,65.28241
480,65.7419
481,65.40707
482,65.61977
483,66.99508
484,66.66136
485,65.80113
486,65.47531
487,65.39636
488,65.748764
489,64.9062
490,66.1446
491,65.77276
492,66.55666
493,66.82046
494,65.830185
495,65.83632
496,65.31905
497,65.22579
498,64.27986
499,62.94723
500,62.68118
