tick,gini
0,33.791683
1,33.58574
2,36.07708
3,37.991386
4,38.89265
5,41.637325
6,43.752403
7,46.238632
8,46.009296
9,46.74702
10,49.026012
11,50.2383
12,50.868847
13,52.76987
14,54.70389
15,54.78402
16,56.583366
17,56.50097
18,56.62342
19,55.486145
20,54.48404
21,53.829502
22,54.45501
23,54.302452
24,55.00918
25,54.573757
26,54.561222
27,56.64926
28,56.51518
29,58.602932
30,59.147163
31,59.003147
32,59.57749
33,59.376595
34,58.908497
35,57.319515
36,58.78846
37,58.940216
38,59.775723
39,60.54382
40,61.315765
41,59.629936
42,59.2371
43,59.861485
44,59.88707
45,60.0227
46,60.38756
47,59.776436
48,61.356834
49,60.806892
50,62.06698
51,60.734516
52,60.55142
53,61.215992
54,61.555645
55,62.102917
56,63.963074
57,63.89058
58,64.695724
59,65.31999
60,65.08364
61,65.109795
62,65.18936
63,64.21675
64,64.98973
65,63.482506
66,63.276703
67,63.95852
68,64.23379
69,65.340645
70,64.507774
71,64.12055
72,64.07061
73,63.870914
74,63.982372
75,64.00692
76,64.184616
77,63.422394
78,61.700687
79,62.96404
80,63.176918
81,63.85771
82,64.83294
83,66.27513
84,63.036568
85,63.766907
86,65.06748
87,65.27451
88,65.42601
89,65.95455
90,66.527
91,67.60518
92,67.3094
93,66.08585
94,65.14206
95,65.17387
96,64.68061
97,64.20732
98,65.673515
99,64.84088
100,66.88529
101,67.81619
102,66.86977
103,65.85252
104,64.42456
105,64.90152
106,65.20664
107,64.11861
108,65.04086
109,65.86748
110,66.11698
111,66.96823
112,67.450386
113,67.57995
114,66.0764
115,65.38332
116,65.04147
117,66.34008
118,64.9753
119,65.82145
120,65.65584
121,65.39639
122,64.87205
123,65.23769
124,64.82651
125,65.09466
126,65.77416
127,65.83663
128,65.28464
129,65.725075
130,64.414246
131,62.72718
132,63.69508
133,63.204567
134,64.677216
135,63.058567
136,63.822712
137,65.52806
138,63.719723
139,64.09721
140,64.85432
141,64.95544
142,65.0548
143,64.939514
144,66.02932
145,65.0575
146,63.50748
147,64.085976
148,64.98649
149,63.993706
150,61.493813
