tick,gini
0,6.198653
1,6.296918
2,6.21013
3,6.264949
4,6.5406265
5,7.179142
6,7.5835147
7,7.730319
8,7.98975
9,8.227574
10,8.246039
11,8.292761
12,8.66932
13,8.770481
14,8.736541
15,8.712804
16,8.929842
17,9.209813
18,9.367345
19,9.753912
20,9.451478
21,9.318198
22,9.700907
23,9.927833
24,9.927616
25,10.7139845
26,10.647234
27,10.935997
28,10.879176
29,10.988683
30,10.915671
31,10.819158
32,10.739962
33,10.611305
34,10.970238
35,11.265796
36,12.105281
37,12.044172
38,12.318477
39,12.137393
40,12.520953
41,12.5261345
42,12.718737
43,13.392103
44,13.744513
45,13.496772
46,13.493455
47,13.597655
48,13.618144
49,13.34612
50,13.15064
51,12.782095
52,12.699847
53,12.574979
54,12.573933
55,12.55016
56,11.822348
57,11.649789
58,11.499759
59,11.986345
60,12.222308
61,12.119098
62,12.267305
63,12.407302
64,12.691348
65,12.878325
66,12.876702
67,13.101527
68,13.307138
69,13.2920885
70,13.437126
71,13.541715
72,13.411826
73,13.11633
74,12.7144375
75,12.630763
76,12.568627
77,12.383131
78,12.719736
79,12.689059
80,12.713595
81,12.613583
82,12.520061
83,11.711451
84,11.95476
85,11.728173
86,11.603558
87,11.860456
88,11.514833
89,11.065732
90,10.82252
91,10.595403
92,10.424054
93,10.487957
94,10.389302
95,10.689333
96,10.909026
97,11.133355
98,11.142841
99,11.580343
100,11.578063
101,11.473854
102,11.561127
103,11.495025
104,11.306422
105,11.44637
106,11.637482
107,11.423938
108,11.073389
109,11.11411
110,11.09698
111,11.34971
112,11.350497
113,11.586187
114,11.781746
115,11.426714
116,11.28648
117,11.240158
118,11.098394
119,10.848179
120,10.573994
121,10.371904
122,10.05812
123,10.435514
124,10.226685
125,10.566809
126,11.100025
127,11.213775
128,11.056952
129,11.25157
130,10.878898
131,11.036199
132,10.95286
133,11.178381
134,11.245882
135,11.210887
136,10.874735
137,10.634454
138,10.315694
139,10.432675
140,10.273841
141,10.234042
142,10.048034
143,10.282832
144,9.993179
145,9.79822
146,9.996732
147,9.999565
148,10.22637
149,10.033526
150,9.898907
151,9.902945
152,10.141768
153,10.448264
154,11.301244
155,11.176649
156,11.185626
157,11.19813
158,11.792077
159,11.679739
160,11.969985
161,12.109749
162,12.0516815
163,12.288898
164,12.45459
165,12.189555
166,11.901649
167,11.780904
168,11.712246
169,11.563989
170,11.613999
171,11.508905
172,11.736816
173,11.755929
174,11.954443
175,12.225088
176,12.177535
177,12.174094
178,12.585409
179,12.369272
180,12.269449
181,12.0796995
182,12.236259
183,12.222097
184,12.526073
185,12.299075
186,12.016457
187,12.319272
188,12.287105
189,12.515555
190,12.25455
191,12.036018
192,12.052597
193,12.300704
194,12.265487
195,12.342286
196,12.60152
197,12.690253
198,12.692834
199,12.685843
200,13.045399
201,13.049814
202,13.048295
203,13.2031145
204,13.391422
205,13.866688
206,13.868536
207,14.204054
208,14.269424
209,14.125815
210,14.303712
211,14.353319
212,14.042724
213,13.928661
214,13.693265
215,13.497394
216,13.546629
217,13.66311
218,13.654066
219,13.701616
220,13.337116
221,13.417455
222,13.295006
223,13.427692
224,13.903715
225,13.943263
226,13.997123
227,13.907468
228,13.876674
229,13.797957
230,13.823222
231,13.713773
232,13.908764
233,14.518398
234,14.378277
235,14.464924
236,14.420998
237,13.897422
238,13.703785
239,13.964861
240,13.838327
241,13.211162
242,12.949047
243,13.109486
244,13.075026
245,13.243872
246,13.200471
247,13.328503
248,13.011629
249,12.9336815
250,12.953423
251,12.70441
252,12.108569
253,11.995298
254,11.960132
255,11.720042
256,11.687935
257,12.43379
258,12.426094
259,12.602351
260,12.759304
261,13.008315
262,12.9972515
263,12.86705
264,12.824534
265,12.646426
266,12.659323
267,12.422312
268,12.421325
269,12.783481
270,12.138556
271,12.035952
272,12.007487
273,12.105556
274,11.769528
275,11.566447
276,11.543953
277,11.426976
278,11.524379
279,11.845753
280,11.769684
281,11.855446
282,11.9065275
283,11.977418
284,12.040537
285,12.205811
286,12.24328
287,12.325071
288,11.926682
289,11.773196
290,11.756335
291,11.645545
292,11.808262
293,12.009121
294,11.988657
295,11.771785
296,11.337091
297,11.898001
298,11.957781
299,11.872045
300,11.69135
301,12.296509
302,12.509801
303,12.464821
304,12.649121
305,13.172333
306,12.915268
307,12.409976
308,12.136612
309,12.667079
310,12.376765
311,12.536546
312,12.805405
313,13.220393
314,12.812866
315,12.128118
316,11.989841
317,11.646224
318,10.594842
319,10.286617
320,9.951719
321,9.851204
322,9.652334
323,9.504609
324,9.560614
325,9.814599
326,9.913767
327,9.931251
328,9.921141
329,10.0387335
330,10.029862
331,9.988209
332,9.953771
333,10.200411
334,10.003778
335,10.064818
336,10.071545
337,10.064289
338,10.6501045
339,10.582047
340,10.981327
341,10.823296
342,11.128983
343,10.951905
344,10.744971
345,10.999161
346,10.983994
347,10.805713
348,11.043152
349,11.795064
350,12.139427
351,11.874015
352,12.076705
353,12.041268
354,11.95034
355,12.04598
356,11.808029
357,11.62655
358,11.787947
359,12.504809
360,13.312563
361,13.255753
362,13.080109
363,13.062232
364,12.812775
365,12.941597
366,12.966385
367,12.966899
368,12.919879
369,12.818586
370,12.455333
371,12.514093
372,12.677605
373,12.418588
374,12.477169
375,12.366312
376,12.850936
377,12.723524
378,12.812564
379,12.862063
380,12.738935
381,12.605363
382,12.36835
383,12.577631
384,12.501741
385,11.854109
386,11.867454
387,12.000001
388,11.733404
389,12.251764
390,12.060331
391,11.812935
392,11.885793
393,11.772898
394,12.248286
395,12.508619
396,12.474408
397,12.577489
398,12.757879
399,12.906046
400,12.989889
401,13.038091
402,12.954517
403,12.77955
404,12.747513
405,12.647908
406,12.654523
407,12.015973
408,12.026899
409,12.44542
410,12.741173
411,12.503199
412,12.324395
413,12.847436
414,13.21746
415,13.044677
416,13.427033
417,13.576541
418,13.775967
419,13.947778
420,13.753665
421,13.544315
422,13.457947
423,13.462996
424,13.223225
425,13.922067
426,13.446418
427,13.7930975
428,13.90696
429,13.61538
430,13.595532
431,13.933314
432,13.572468
433,13.333565
434,13.0287
435,12.867804
436,12.680205
437,12.632433
438,12.5106325
439,12.799691
440,12.7878275
441,12.789791
442,12.813866
443,12.718909
444,12.709141
445,12.292017
446,12.732706
447,12.701479
448,12.534054
449,12.53253
450,12.435846
451,12.226093
452,12.491621
453,11.710947
454,11.5306635
455,11.554781
456,11.531978
457,11.5907545
458,11.333332
459,11.4444275
460,11.821852
461,12.105593
462,12.725467
463,12.456477
464,12.270838
465,12.58335
466,12.60934
467,12.369351
468,12.371019
469,12.614824
470,12.750325
471,12.485386
472,12.453589
473,12.68779
474,12.890972
475,13.192765
476,13.074796
477,13.469049
478,13.284028
479,13.528334
480,13.35533
481,13.475495
482,13.087594
483,12.918398
484,13.292332
485,13.488607
486,13.198858
487,12.925964
488,13.28634
489,13.266442
490,13.214682
491,13.201125
492,13.180938
493,13.321935
494,13.080579
495,13.161201
496,13.410155
497,13.254564
498,13.078038
499,12.948547
500,12.938124
