tick,gini
0,32.640606
1,32.034893
2,35.245525
3,38.35318
4,40.0003
5,40.502922
6,43.002617
7,41.749714
8,42.685658
9,44.803844
10,45.867725
11,47.833164
12,48.984943
13,52.008736
14,53.6244
15,54.84106
16,56.839226
17,58.35967
18,57.405495
19,59.6252
20,58.525715
21,58.096092
22,58.059048
23,57.25513
24,57.824593
25,58.667004
26,60.552467
27,60.774963
28,61.65831
29,61.155853
30,60.88589
31,62.696815
32,62.70683
33,62.637436
34,63.403103
35,64.14053
36,64.02193
37,64.26599
38,65.303604
39,65.03009
40,65.64271
41,64.713356
42,64.33733
43,66.24116
44,64.540245
45,64.906715
46,64.745155
47,64.43559
48,64.632416
49,64.98859
50,64.7566
51,64.91441
52,64.72439
53,64.31848
54,64.6444
55,63.8751
56,63.856888
57,63.836452
58,64.30327
59,64.300545
60,63.027275
61,61.324127
62,62.500244
63,62.00339
64,62.337177
65,61.728794
66,62.59326
67,62.047142
68,63.01805
69,62.70874
70,61.543083
71,61.55257
72,61.0857
73,61.856174
74,62.430454
75,62.067123
76,62.335358
77,59.341568
78,60.868446
79,61.39895
80,61.445522
81,60.970837
82,61.355183
83,61.896355
84,62.434227
85,62.59038
86,63.005585
87,62.942673
88,63.192284
89,61.452045
90,60.713
91,59.563538
92,59.31608
93,60.385967
94,59.761745
95,59.021214
96,59.62083
97,60.65491
98,61.50383
99,63.050728
100,62.9819
101,62.048992
102,62.626682
103,63.096664
104,62.11555
105,62.094784
106,63.635086
107,64.78127
108,65.01226
109,64.206696
110,64.611725
111,65.66117
112,65.9453
113,66.049614
114,65.31962
115,66.09489
116,66.54551
117,65.49258
118,65.16831
119,65.72633
120,65.34871
121,65.939384
122,65.88292
123,64.99474
124,64.97404
125,65.77408
126,67.36285
127,68.31452
128,69.17255
129,68.83363
130,67.759796
131,68.62619
132,66.8079
133,66.70958
134,65.631714
135,65.80824
136,65.62158
137,64.09767
138,64.14881
139,62.500507
140,62.94601
141,63.443054
142,62.39906
143,62.484623
144,63.238132
145,63.099976
146,63.573257
147,63.11438
148,64.62917
149,64.31394
150,65.99037
151,66.012825
152,66.120476
153,66.785385
154,66.94232
155,64.235054
156,64.851135
157,64.60351
158,64.94544
159,63.447216
160,64.58141
161,63.10057
162,63.067265
163,63.198025
164,62.76206
165,62.955097
166,63.641712
167,63.230263
168,63.61884
169,64.53854
170,65.48713
171,65.54227
172,66.31443
173,67.50162
174,67.262695
175,68.80716
176,68.87233
177,67.99079
178,67.68187
179,68.20248
180,68.739716
181,68.733444
182,68.85927
183,69.77891
184,68.885704
185,70.71037
186,71.52869
187,69.73191
188,67.870575
189,68.6515
190,69.435135
191,69.946014
192,69.34531
193,69.20493
194,70.34001
195,68.93455
196,67.309425
197,68.03676
198,66.69901
199,66.928
200,66.13048
201,64.57364
202,64.81855
203,64.68748
204,64.49839
205,65.60112
206,66.86454
207,67.86531
208,67.02966
209,66.70516
210,66.58436
211,66.04848
212,65.58509
213,65.05371
214,65.445786
215,65.99111
216,65.48714
217,64.83684
218,64.95501
219,64.78361
220,65.94832
221,66.096664
222,64.291985
223,64.54036
224,64.68848
225,63.52978
226,62.512104
227,61.822914
228,62.25657
229,62.550747
230,63.297787
231,62.598057
232,62.14085
233,62.21289
234,62.720245
235,63.568165
236,62.42862
237,61.824413
238,62.453213
239,62.166122
240,61.22675
241,60.683094
242,60.583878
243,61.39228
244,63.103382
245,63.131096
246,62.424667
247,62.335793
248,63.088596
249,62.806744
250,62.14903
251,63.163586
252,61.855446
253,61.601288
254,62.514084
255,62.61937
256,62.65053
257,62.294518
258,60.05024
259,61.43187
260,61.981598
261,61.475334
262,63.35323
263,64.0479
264,65.88145
265,65.49363
266,65.83796
267,64.5096
268,66.22097
269,64.84066
270,64.274445
271,63.71082
272,64.38064
273,62.83008
274,63.96628
275,63.63768
276,62.778503
277,62.852192
278,62.57203
279,63.22175
280,63.084053
281,64.01998
282,64.32316
283,63.645298
284,62.646683
285,64.23436
286,63.78604
287,63.376064
288,62.466076
289,61.415756
290,61.338177
291,61.167892
292,60.26568
293,60.03957
294,60.57501
295,61.198647
296,62.241207
297,62.230206
298,61.04216
299,60.542145
300,61.028053
301,59.62542
302,60.423473
303,60.581516
304,60.049175
305,60.081833
306,60.966522
307,61.653137
308,62.554325
309,62.711025
310,63.037434
311,61.598175
312,59.926838
313,60.07896
314,60.855347
315,63.419334
316,63.552593
317,63.066532
318,63.520226
319,62.242226
320,62.401726
321,61.809597
322,63.448555
323,63.618813
324,64.06199
325,64.305534
326,62.863274
327,61.97091
328,62.463917
329,62.180286
