"BehaviorSpace results (NetLogo 6.0.3)"
"Wealth Distribution.nlogo"
"netlogo-2"
"05/18/2021 19:18:02:339 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"num-grain-grown","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4"
"life-expectancy-max","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83"
"metabolism-max","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15","15"
"grain-growth-interval","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"percent-best-land","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10"
"max-vision","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"life-expectancy-min","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"num-people","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000","1000"
"[reporter]","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve"
"[final]","226.15286664157568","227.78483556138823","229.20761384739032","236.8207051352238","233.5235210652696","250.5712176521196","242.36354192431364","244.12438700449528","240.1531360304102","242.13805268683296","236.36795788584894","235.91341506542489","232.57775493536843","237.7846029609693","237.0956930051814","234.0892165624073","221.48576473486838","237.80354542258834","221.76176697530863","236.29171464762777"
"[min]","126.6516559268693","134.1483351235231","130.83596480655663","137.91058204392925","135.52739061931885","137.08034495594964","129.80572450258245","134.45938056136637","136.15053367684956","129.96773945417073","132.90173175791458","134.0725574272588","132.92401563979593","137.26912212422712","133.18908208405009","134.31850729826488","135.141507087789","129.9990072202166","131.6694617134193","134.40055886852534"
"[max]","245.67343015805213","249.41624871919336","243.68684790400124","256.9152159569613","246.18730267673286","260.1069853874747","255.35380591846013","254.05675099350557","256.6159343030482","258.31184329213335","245.41124876240772","259.610827165554","241.9421375749964","247.07182961723265","246.55013368983973","248.73441138421745","250.66290534618784","247.90715752420067","244.32829154259326","244.78985507246355"
"[mean]","228.1413144705568","228.42671540195644","226.70285799296425","236.88331528612437","230.58577642529207","238.32814530285387","233.40090283997114","233.29074769186087","234.49954392375494","233.7938172142931","227.82021786689862","238.6620994482295","223.1765826240466","229.97173066964868","228.64387475968505","231.12833469453003","223.36729656824122","227.28348882441833","227.34321748245713","227.41482471709054"
"[steps]","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500","500"

"[all run data]","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve","gini-index-reserve"
,"126.6516559268693","134.1483351235231","130.83596480655663","137.91058204392925","135.52739061931885","137.08034495594964","129.80572450258245","134.45938056136637","136.15053367684956","129.96773945417073","132.90173175791458","134.0725574272588","132.92401563979593","137.26912212422712","133.18908208405009","134.31850729826488","135.141507087789","129.9990072202166","131.6694617134193","134.40055886852534"
,"131.18287526427065","138.71047871309528","134.85729937438452","142.40912553562913","139.36020569866088","138.42163957949927","131.55965433934196","135.949883302845","137.9595174262737","133.1799103948227","138.6826024442848","135.32090666003356","139.16892001164416","140.4874760715099","140.49282087766377","138.1371412279035","143.73885918003563","135.61522092877695","136.76947060320708","140.06835969479678"
,"147.52708168747054","151.34180470211092","146.9766630280179","150.48671636085606","145.68237634307567","150.38510798593683","142.99142965371368","145.91963155229175","150.0909414890168","148.2914777591073","149.26488947520852","147.30865130336227","148.93840579710155","155.06536111389354","147.90594156161427","144.78123292514385","150.65872374798053","148.23422384521788","147.6083355074354","151.47401418630434"
,"160.9276597144548","161.96502736074112","161.5333921542009","157.11161047473786","156.7527249517201","158.52655933062877","154.65606345437158","153.5756441957314","156.79058313632785","162.95135362367574","162.39663485685605","161.5927435001939","158.21085255211577","160.1541890673522","157.00894363820439","160.23967319598063","159.59585591886687","159.49300119410896","155.18643062849384","158.96465860695142"
,"170.46644455021416","172.92546130843866","164.8637195873387","170.80655319148946","171.19218852205083","167.04665102945046","168.06751135300038","160.379076224984","167.8998442473082","171.9337382661515","165.81422810075503","170.81238183687677","168.99962302085945","167.72245945108313","167.72926880150206","174.3567495033285","170.1377541903434","162.44808879986644","161.27925764957425","171.22370537150212"
,"182.36616817253417","185.26006249534998","172.71885766092493","177.6175808816012","172.38637779469826","171.18166633259858","168.9755702570463","165.96137602179846","172.77492498061298","173.00707260278725","177.64104567734555","174.7030781531083","175.54172356788607","177.6841954639767","176.9673668417102","183.22316784033427","173.97426562000507","171.8655740518278","170.56985949646958","175.0058827736655"
,"178.29678712154364","184.59362899101342","181.6601690592434","185.00182055509742","176.54814995470713","173.89795884334438","169.11622390891844","170.25037785105803","174.47386237326992","175.88539631593622","176.35775193798463","182.42118193891122","178.77182360383156","182.92546122852917","181.5990405002336","186.8459861591696","182.66575920383647","174.38611843682574","173.66720336883816","174.06896369217733"
,"178.4691714189871","181.40981800085305","182.47058716729","178.87118485938967","180.6081801599551","184.11512890094983","174.99979777553057","171.39315087192438","179.80005744990052","176.57190802382024","180.4453213879409","184.26018264235864","179.21822635614876","182.40327640292819","183.81686335845316","182.1741824091002","186.9228377412436","181.1790881042166","175.10899129760793","176.15521036747717"
,"175.07545317714832","183.28428275595795","183.7786226685797","181.16243847653027","181.20789455331618","183.68037618385304","172.12852361106567","183.10485238639131","188.26936363328474","182.2500000000002","181.76604113019863","187.98949559175404","178.41023877543833","181.03263099335902","183.0502303513718","182.92073089257119","184.88779451525724","182.24487666358766","170.79276440403635","181.26744018708416"
,"180.92351025291617","186.5531613171001","192.6683934998364","189.97801499129952","185.75367327798824","189.84097720308446","178.17294219211752","187.72020814666763","190.02748604094668","183.07814336075202","181.88362614195384","186.1931763957372","183.60035893244242","183.60736871047584","183.87928202320276","185.1622735852177","183.9944037051334","188.51658119658111","175.4308391197706","189.95568886150272"
,"187.52670563337676","184.44981610696735","196.37840509666074","189.25790371244906","189.2586242511877","190.31893487155426","182.52819030095938","185.19132748161402","189.0581682765798","183.99572819392046","191.0393930708323","190.75960323477378","182.71510559350824","181.83647283647278","188.55058074185104","193.11057005152037","182.95076762037678","185.1118839427663","179.615151936583","194.84411542474703"
,"187.06098543330847","188.11431453015248","197.79734154240367","193.6273977560623","191.1453439099633","197.15361146116615","179.33302705785454","182.81453231633867","189.9054528621145","186.22974223397208","192.31176387863434","196.91752400012484","190.54632508833916","188.84565872363746","187.74535054856833","189.41947385306395","191.75460408455763","183.99688136038347","183.1387743693663","197.19008634588508"
,"190.28251234008275","191.67712035681936","197.40338571880605","194.07011723782543","188.6144867604883","191.10754935373942","182.47153790202728","186.59289672884574","192.84698665313988","189.48936275316976","198.27563901384394","199.71588813767679","187.36524847068566","188.35665075034123","189.9344007747019","189.17421575157783","192.69824586322002","190.33091179877536","185.02340513670245","192.31063099899495"
,"197.35376816492067","197.0748449345276","194.81181796275254","197.2346136639612","193.86452163437417","194.69413593958257","189.55237414641908","191.00814156910246","196.78680266968874","191.06581196581212","195.4339304956896","194.64570236766355","182.68122607936644","193.53113478082767","190.07290054975775","187.86493246623306","192.27479534834706","188.66079345047382","183.42770261035963","188.85063390095488"
,"201.72259782831384","200.07530956086322","193.76969447869553","196.09975007810067","195.23949551830978","192.14468299439665","189.4892758011607","193.20100936317183","198.03796304950654","194.6365484996958","198.24797848225455","195.33738548273402","188.3334121302175","194.17126507255261","190.16271842764624","193.2252023338981","195.58178530041783","192.37547775814983","195.6225589696926","192.787755654883"
,"199.63339151450072","204.03382462813258","201.0851541972065","196.6993097229566","196.9250626401158","191.8393924224887","193.33083633605156","194.54337756013658","196.39123525456858","194.18553657689515","202.9095040337681","196.31582772224343","188.60344362827678","200.58713522400328","196.42414689632787","198.83782252989326","196.3375947305051","194.61658255922322","193.2673044553604","190.92979734635986"
,"201.4351776235199","203.996082597437","207.96953429764886","198.72770833979473","198.17327185926368","195.82423079343152","196.27612081467916","197.49479388363167","195.39498647046312","197.20879793950454","203.68176252508405","194.19406858742553","191.1139983801296","203.91663824271774","198.8142931409817","198.617283369425","200.53756051022933","200.10182721589982","195.2007970989701","191.55634400182717"
,"205.4740988706292","205.3092236894759","200.3203114601358","199.61658394980788","199.78909007713423","199.7401903986471","195.71102225528486","202.4141377728254","200.62425404944597","201.0002199736033","207.74771230795207","197.32875619870646","190.40560760261485","200.8536987023254","204.09373667814376","204.82214403448708","198.14263787810896","201.19677297365425","196.25535355598691","188.8467666655935"
,"206.00287633425324","205.85442620789658","200.96994122861764","202.12239454094293","202.1823548439272","198.2636442704936","201.13491574504803","200.92074282606626","199.9210099918981","196.9214141784209","209.6780983518149","201.58630815292497","196.16511187723938","205.213402807456","197.81631538362657","203.26359806715394","201.55368013281674","197.72238426213218","198.12073423837242","190.10357257804978"
,"202.9946491114281","207.21386984085925","200.43619444263678","200.98747673815552","209.7311062431545","196.47303522619075","207.43802479008403","202.03952588292216","201.89991658474113","200.39778336450314","211.32655962535515","201.66717960301565","201.09656957271906","202.26054658545223","200.51582844013308","203.15695279362856","203.85610006853975","204.80464090457275","202.12521885521895","197.59825256593464"
